	source_ontology	source_id	map_method	target_id
0	CHMO	http://purl.obolibrary.org/obo/CHMO_0001706	LOOM	https://w3id.org/emmo#EMMO_f0644f69_7337_4385_9d4a_4401b7bf3302
1	CHMO	http://purl.obolibrary.org/obo/CHMO_0001652	LOOM	https://w3id.org/emmo#EMMO_2138677c_845a_4bc2_8be7_7b0a07b4777d
2	CHMO	http://purl.obolibrary.org/obo/CHMO_0000239	LOOM	http://purl.obolibrary.org/obo/MMO_0000380
3	CHMO	http://purl.obolibrary.org/obo/CHMO_0000715	LOOM	http://purl.obolibrary.org/obo/MMO_0000721
4	CHMO	http://purl.obolibrary.org/obo/CHMO_0000591	LOOM	http://purl.obolibrary.org/obo/MMO_0000709
5	CHMO	http://purl.obolibrary.org/obo/CHMO_0001082	LOOM	http://purl.obolibrary.org/obo/MMO_0000170
6	CHMO	http://purl.obolibrary.org/obo/CHMO_0001015	LOOM	http://purl.obolibrary.org/obo/MMO_0000470
7	CHMO	http://purl.obolibrary.org/obo/CHMO_0000001	LOOM	http://purl.obolibrary.org/obo/MMO_0000327
8	CHMO	http://purl.obolibrary.org/obo/CHMO_0000243	LOOM	http://purl.obolibrary.org/obo/MMO_0000379
9	CHMO	http://purl.obolibrary.org/obo/CHMO_0000103	LOOM	http://purl.obolibrary.org/obo/MMO_0000685
10	CHMO	http://purl.obolibrary.org/obo/CHMO_0001006	LOOM	http://purl.obolibrary.org/obo/MMO_0000845
11	CHMO	http://purl.obolibrary.org/obo/CHMO_0001001	LOOM	http://purl.obolibrary.org/obo/MMO_0000468
12	CHMO	http://purl.obolibrary.org/obo/CHMO_0001613	LOOM	https://w3id.org/emmo#EMMO_c9a2307d_51d0_426b_ae2f_85f5a44934e0
13	CHMO	http://purl.obolibrary.org/obo/CHMO_0000524	LOOM	http://purl.obolibrary.org/obo/MMO_0000535
14	CHMO	http://purl.obolibrary.org/obo/CHMO_0000291	LOOM	http://purl.obolibrary.org/obo/MMO_0000173
15	CHMO	http://purl.obolibrary.org/obo/CHMO_0000796	LOOM	http://purl.obolibrary.org/obo/MMO_0000537
16	CHMO	http://purl.obolibrary.org/obo/CHEBI_60004	LOOM	https://w3id.org/emmo#EMMO_ec2c8ac8_98c5_4c74_b85b_ff8e8ca6655c
17	CHMO	http://purl.obolibrary.org/obo/CHMO_0001465	LOOM	https://w3id.org/emmo#EMMO_9900d51c_bdd3_40e8_aa82_ad1aa7092f71
18	CHMO	http://purl.obolibrary.org/obo/CHMO_0001694	LOOM	http://purl.obolibrary.org/obo/MMO_0000680
19	CHMO	http://purl.obolibrary.org/obo/CHMO_0000497	LOOM	http://purl.obolibrary.org/obo/MMO_0000536
20	CHMO	http://purl.obolibrary.org/obo/CHMO_0001691	LOOM	http://purl.obolibrary.org/obo/MMO_0000682
21	CHMO	http://purl.obolibrary.org/obo/OBI_0000968	LOOM	https://w3id.org/emmo#EMMO_494b372c_cfdf_47d3_a4de_5e037c540de8
22	CHMO	http://purl.obolibrary.org/obo/CHMO_0001002	LOOM	http://purl.obolibrary.org/obo/MMO_0000469
23	CHMO	http://purl.obolibrary.org/obo/CHMO_0000470	LOOM	http://purl.obolibrary.org/obo/MMO_0000534
24	CHMO	http://purl.obolibrary.org/obo/CHMO_0001007	LOOM	http://purl.obolibrary.org/obo/MMO_0000289
25	CHMO	http://purl.obolibrary.org/obo/CHMO_0001701	LOOM	https://w3id.org/emmo#EMMO_03441eb3_d1fd_4906_b953_b83312d7589e
26	CHMO	http://purl.obolibrary.org/obo/CHMO_0000322	LOOM	http://purl.obolibrary.org/obo/MMO_0000238
27	CHMO	http://purl.obolibrary.org/obo/CHMO_0001019	LOOM	http://purl.obolibrary.org/obo/MMO_0000287
28	CHMO	http://purl.obolibrary.org/obo/CHMO_0002815	LOOM	https://w3id.org/emmo#EMMO_38d65ffa_353f_4820_8781_ff986b63e517
29	CHMO	http://purl.obolibrary.org/obo/CHMO_0002822	LOOM	https://w3id.org/emmo#EMMO_d5be1faf_0c56_4f5a_9b78_581e6dee949f
30	CHMO	http://purl.obolibrary.org/obo/CHEBI_23367	LOOM	https://w3id.org/emmo#EMMO_21205421_5783_4d3e_81e5_10c5d894a88a
31	CHMO	http://purl.obolibrary.org/obo/CHMO_0001009	LOOM	http://purl.obolibrary.org/obo/MMO_0000394
32	CHMO	http://purl.obolibrary.org/obo/CHMO_0001016	LOOM	http://purl.obolibrary.org/obo/MMO_0000471
33	CHMO	http://purl.obolibrary.org/obo/CHMO_0001000	LOOM	http://purl.obolibrary.org/obo/MMO_0000288
34	CHMO	http://purl.obolibrary.org/obo/BFO_0000023	LOOM	https://w3id.org/emmo#EMMO_4f226cf3_6d02_4d35_8566_a9e641bc6ff3
35	CHMO	http://purl.obolibrary.org/obo/CHMO_0002821	LOOM	https://w3id.org/emmo#EMMO_16f2fe60_2db7_43ca_8fee_5b3e416bfe87
36	CHMO	http://purl.obolibrary.org/obo/CHMO_0000538	LOOM	http://purl.obolibrary.org/obo/MMO_0000736
37	CHMO	http://purl.obolibrary.org/obo/CHMO_0001021	LOOM	http://purl.obolibrary.org/obo/MMO_0000100
38	CHMO	http://purl.obolibrary.org/obo/BFO_0000015	LOOM	https://w3id.org/emmo#EMMO_43e9a05d_98af_41b4_92f6_00f79a09bfce
39	CHMO	http://purl.obolibrary.org/obo/CHMO_0001011	LOOM	http://purl.obolibrary.org/obo/MMO_0000684
40	CHMO	http://purl.obolibrary.org/obo/CHMO_0001102	LOOM	http://purl.obolibrary.org/obo/MMO_0000759
41	CHMO	http://purl.obolibrary.org/obo/CHEBI_28694	LOOM	https://w3id.org/emmo#EMMO_57a7ab6b-30a4-54e5-821d-0b8efb5e08b2
42	CHMO	http://purl.obolibrary.org/obo/CHMO_0001427	LOOM	https://w3id.org/emmo#EMMO_6800c3fd_bf5d_4a2a_8e6e_9e909eefc16c
43	CHMO	http://purl.obolibrary.org/obo/CHMO_0001209	LOOM	http://purl.obolibrary.org/obo/MMO_0000678
44	CHMO	http://purl.obolibrary.org/obo/CHMO_0002743	LOOM	https://w3id.org/emmo#EMMO_1cba0b27_15d0_4326_933f_379d0b3565b6
45	CHMO	http://purl.obolibrary.org/obo/CHMO_0002820	LOOM	https://w3id.org/emmo#EMMO_a356870d_409a_4de6_a910_0d8498e593ff
46	CHMO	http://purl.obolibrary.org/obo/CHMO_0000107	LOOM	http://www.bioassayontology.org/bao#BAO_0002511
47	CHMO	http://purl.obolibrary.org/obo/CHMO_0002182	LOOM	http://www.bioassayontology.org/bao#BAO_0150025
48	CHMO	http://purl.obolibrary.org/obo/CHMO_0000063	LOOM	http://www.bioassayontology.org/bao#BAO_0000461
49	CHMO	http://purl.obolibrary.org/obo/CHMO_0000120	LOOM	http://www.bioassayontology.org/bao#BAO_0002512
50	CHMO	http://purl.obolibrary.org/obo/CHMO_0000112	LOOM	http://www.bioassayontology.org/bao#BAO_0000459
51	CHMO	http://purl.obolibrary.org/obo/CHMO_0000112	LOOM	http://www.bioassayontology.org/bao#BAO_0000459
52	CHMO	http://purl.obolibrary.org/obo/OBI_0400064	LOOM	http://www.bioassayontology.org/bao#BAO_0150033
53	CHMO	http://purl.obolibrary.org/obo/OBI_0400064	LOOM	http://www.bioassayontology.org/bao#BAO_0150033
54	CHMO	http://purl.obolibrary.org/obo/CHMO_0000113	LOOM	http://www.bioassayontology.org/bao#BAO_0002523
55	CHMO	http://purl.obolibrary.org/obo/CHMO_0000113	LOOM	http://www.bioassayontology.org/bao#BAO_0002523
56	CHMO	http://purl.obolibrary.org/obo/CHMO_0000107	LOOM	http://www.bioassayontology.org/bao#BAO_0002511
57	CHMO	http://purl.obolibrary.org/obo/CHMO_0000701	LOOM	http://www.bioassayontology.org/bao#BAO_0040042
58	CHMO	http://purl.obolibrary.org/obo/CHMO_0000701	LOOM	http://www.bioassayontology.org/bao#BAO_0040042
59	CHMO	http://purl.obolibrary.org/obo/BFO_0000034	LOOM	http://www.bioassayontology.org/bao#BAO_0003117
60	CHMO	http://purl.obolibrary.org/obo/BFO_0000034	LOOM	http://www.bioassayontology.org/bao#BAO_0003117
61	CHMO	http://purl.obolibrary.org/obo/CHMO_0002182	LOOM	http://www.bioassayontology.org/bao#BAO_0150025
62	CHMO	http://purl.obolibrary.org/obo/CHMO_0000103	LOOM	http://www.bioassayontology.org/bao#BAO_0000453
63	CHMO	http://purl.obolibrary.org/obo/CHMO_0000103	LOOM	http://www.bioassayontology.org/bao#BAO_0000453
64	CHMO	http://purl.obolibrary.org/obo/CHMO_0000683	LOOM	http://www.bioassayontology.org/bao#BAO_0000428
65	CHMO	http://purl.obolibrary.org/obo/CHMO_0000683	LOOM	http://www.bioassayontology.org/bao#BAO_0000428
66	CHMO	http://purl.obolibrary.org/obo/CHMO_0000683	LOOM	http://www.bioassayontology.org/bao#BAO_0000428
67	CHMO	http://purl.obolibrary.org/obo/CHMO_0000073	LOOM	http://www.bioassayontology.org/bao#BAO_0000454
68	CHMO	http://purl.obolibrary.org/obo/CHMO_0000073	LOOM	http://www.bioassayontology.org/bao#BAO_0000454
69	CHMO	http://purl.obolibrary.org/obo/CHMO_0001126	LOOM	http://www.bioassayontology.org/bao#BAO_0150011
70	CHMO	http://purl.obolibrary.org/obo/CHMO_0001126	LOOM	http://www.bioassayontology.org/bao#BAO_0150011
71	CHMO	http://purl.obolibrary.org/obo/CHMO_0001126	LOOM	http://www.bioassayontology.org/bao#BAO_0150011
72	CHMO	http://purl.obolibrary.org/obo/CHMO_0001077	LOOM	http://www.bioassayontology.org/bao#BAO_0000456
73	CHMO	http://purl.obolibrary.org/obo/CHMO_0001077	LOOM	http://www.bioassayontology.org/bao#BAO_0000456
74	CHMO	http://purl.obolibrary.org/obo/CHMO_0000061	LOOM	http://www.bioassayontology.org/bao#BAO_0000005
75	CHMO	http://purl.obolibrary.org/obo/CHMO_0000061	LOOM	http://www.bioassayontology.org/bao#BAO_0000005
76	CHMO	http://purl.obolibrary.org/obo/CHMO_0001691	LOOM	http://www.bioassayontology.org/bao#BAO_0002508
77	CHMO	http://purl.obolibrary.org/obo/CHMO_0001691	LOOM	http://www.bioassayontology.org/bao#BAO_0002508
78	CHMO	http://purl.obolibrary.org/obo/CHMO_0001125	LOOM	http://www.bioassayontology.org/bao#BAO_0150010
79	CHMO	http://purl.obolibrary.org/obo/CHMO_0001125	LOOM	http://www.bioassayontology.org/bao#BAO_0150010
80	CHMO	http://purl.obolibrary.org/obo/CHMO_0001125	LOOM	http://www.bioassayontology.org/bao#BAO_0150010
81	CHMO	http://purl.obolibrary.org/obo/CHMO_0000110	LOOM	http://www.bioassayontology.org/bao#BAO_0000458
82	CHMO	http://purl.obolibrary.org/obo/CHMO_0000110	LOOM	http://www.bioassayontology.org/bao#BAO_0000458
83	CHMO	http://purl.obolibrary.org/obo/CHMO_0000080	LOOM	http://www.bioassayontology.org/bao#BAO_0000455
84	CHMO	http://purl.obolibrary.org/obo/CHMO_0000080	LOOM	http://www.bioassayontology.org/bao#BAO_0000455
85	CHMO	http://purl.obolibrary.org/obo/CHMO_0000067	LOOM	http://www.bioassayontology.org/bao#BAO_0002526
86	CHMO	http://purl.obolibrary.org/obo/CHMO_0000067	LOOM	http://www.bioassayontology.org/bao#BAO_0002526
87	CHMO	http://purl.obolibrary.org/obo/CHMO_0002536	LOOM	http://www.bioassayontology.org/bao#BAO_0002454
88	CHMO	http://purl.obolibrary.org/obo/CHMO_0002536	LOOM	http://www.bioassayontology.org/bao#BAO_0002454
89	CHMO	http://purl.obolibrary.org/obo/CHMO_0000063	LOOM	http://www.bioassayontology.org/bao#BAO_0000461
90	CHMO	http://purl.obolibrary.org/obo/CHMO_0000953	LOOM	http://www.bioassayontology.org/bao#BAO_0150008
91	CHMO	http://purl.obolibrary.org/obo/CHMO_0000953	LOOM	http://www.bioassayontology.org/bao#BAO_0150008
92	CHMO	http://purl.obolibrary.org/obo/CHMO_0000953	LOOM	http://www.bioassayontology.org/bao#BAO_0150008
93	CHMO	http://purl.obolibrary.org/obo/CHMO_0000087	LOOM	http://www.bioassayontology.org/bao#BAO_0000450
94	CHMO	http://purl.obolibrary.org/obo/CHMO_0000087	LOOM	http://www.bioassayontology.org/bao#BAO_0000450
95	CHMO	http://purl.obolibrary.org/obo/CHMO_0000470	LOOM	http://www.bioassayontology.org/bao#BAO_0000055
96	CHMO	http://purl.obolibrary.org/obo/CHMO_0000470	LOOM	http://www.bioassayontology.org/bao#BAO_0000055
97	CHMO	http://purl.obolibrary.org/obo/OBI_0400065	LOOM	http://www.bioassayontology.org/bao#BAO_0150029
98	CHMO	http://purl.obolibrary.org/obo/OBI_0400065	LOOM	http://www.bioassayontology.org/bao#BAO_0150029
99	CHMO	http://purl.obolibrary.org/obo/CHMO_0000999	LOOM	http://www.bioassayontology.org/bao#BAO_0002500
100	CHMO	http://purl.obolibrary.org/obo/CHMO_0000999	LOOM	http://www.bioassayontology.org/bao#BAO_0002500
101	CHMO	http://purl.obolibrary.org/obo/CHMO_0000120	LOOM	http://www.bioassayontology.org/bao#BAO_0002512
102	CHMO	http://purl.obolibrary.org/obo/CHMO_0000094	LOOM	http://www.bioassayontology.org/bao#BAO_0000064
103	CHMO	http://purl.obolibrary.org/obo/CHMO_0000094	LOOM	http://www.bioassayontology.org/bao#BAO_0000064
104	CHMO	http://purl.obolibrary.org/obo/BFO_0000019	LOOM	http://www.bioassayontology.org/bao#BAO_0002928
105	CHMO	http://purl.obolibrary.org/obo/BFO_0000019	LOOM	http://www.bioassayontology.org/bao#BAO_0002928
106	CHMO	http://purl.obolibrary.org/obo/BFO_0000040	LOOM	http://www.bioassayontology.org/bao#BAO_0003116
107	CHMO	http://purl.obolibrary.org/obo/BFO_0000040	LOOM	http://www.bioassayontology.org/bao#BAO_0003116
108	CHMO	http://purl.obolibrary.org/obo/OBI_0000661	LOOM	http://www.bioassayontology.org/bao#BAO_0000134
109	CHMO	http://purl.obolibrary.org/obo/OBI_0000661	LOOM	http://www.bioassayontology.org/bao#BAO_0000134
110	CHMO	http://purl.obolibrary.org/obo/CHMO_0001734	LOOM	http://www.bioassayontology.org/bao#BAO_0000696
111	CHMO	http://purl.obolibrary.org/obo/CHMO_0001734	LOOM	http://www.bioassayontology.org/bao#BAO_0000696
112	CHMO	http://purl.obolibrary.org/obo/CHMO_0000064	LOOM	http://www.bioassayontology.org/bao#BAO_0000001
113	CHMO	http://purl.obolibrary.org/obo/CHMO_0000064	LOOM	http://www.bioassayontology.org/bao#BAO_0000001
114	CHMO	http://purl.obolibrary.org/obo/CHMO_0000947	LOOM	http://www.bioassayontology.org/bao#BAO_0150009
115	CHMO	http://purl.obolibrary.org/obo/CHMO_0000947	LOOM	http://www.bioassayontology.org/bao#BAO_0150009
116	CHMO	http://purl.obolibrary.org/obo/CHMO_0000947	LOOM	http://www.bioassayontology.org/bao#BAO_0150009
117	CHMO	http://purl.obolibrary.org/obo/CHMO_0002815	LOOM	http://www.bioassayontology.org/bao#BAO_0002135
118	CHMO	http://purl.obolibrary.org/obo/CHMO_0002815	LOOM	http://www.bioassayontology.org/bao#BAO_0002135
119	CHMO	http://purl.obolibrary.org/obo/CHMO_0002535	LOOM	http://www.bioassayontology.org/bao#BAO_0002414
120	CHMO	http://purl.obolibrary.org/obo/CHMO_0002535	LOOM	http://www.bioassayontology.org/bao#BAO_0002414
121	CHMO	http://purl.obolibrary.org/obo/CHMO_0002177	LOOM	http://www.bioassayontology.org/bao#BAO_0002510
122	CHMO	http://purl.obolibrary.org/obo/CHMO_0002177	LOOM	http://www.bioassayontology.org/bao#BAO_0002510
123	CHMO	http://purl.obolibrary.org/obo/CHEBI_23367	LOOM	http://www.bioassayontology.org/bao#BAO_0003043
124	CHMO	http://purl.obolibrary.org/obo/CHEBI_23367	LOOM	http://www.bioassayontology.org/bao#BAO_0003043
125	CHMO	http://purl.obolibrary.org/obo/BFO_0000023	LOOM	http://www.bioassayontology.org/bao#BAO_0002929
126	CHMO	http://purl.obolibrary.org/obo/BFO_0000023	LOOM	http://www.bioassayontology.org/bao#BAO_0002929
127	CHMO	http://purl.obolibrary.org/obo/CHMO_0000104	LOOM	http://www.bioassayontology.org/bao#BAO_0000457
128	CHMO	http://purl.obolibrary.org/obo/CHMO_0000104	LOOM	http://www.bioassayontology.org/bao#BAO_0000457
129	CHMO	http://purl.obolibrary.org/obo/CHMO_0000102	LOOM	http://www.bioassayontology.org/bao#BAO_0000451
130	CHMO	http://purl.obolibrary.org/obo/CHMO_0000102	LOOM	http://www.bioassayontology.org/bao#BAO_0000451
131	CHMO	http://purl.obolibrary.org/obo/CHMO_0000948	LOOM	http://www.bioassayontology.org/bao#BAO_0150023
132	CHMO	http://purl.obolibrary.org/obo/CHMO_0000948	LOOM	http://www.bioassayontology.org/bao#BAO_0150023
133	CHMO	http://purl.obolibrary.org/obo/CHMO_0001102	LOOM	http://www.bioassayontology.org/bao#BAO_0002527
134	CHMO	http://purl.obolibrary.org/obo/CHMO_0001102	LOOM	http://www.bioassayontology.org/bao#BAO_0002527
135	CHMO	http://purl.obolibrary.org/obo/CHMO_0002196	LOOM	http://www.bioassayontology.org/bao#BAO_0000087
136	CHMO	http://purl.obolibrary.org/obo/CHMO_0002196	LOOM	http://www.bioassayontology.org/bao#BAO_0000087
137	CHMO	http://purl.obolibrary.org/obo/CHMO_0000068	LOOM	http://www.bioassayontology.org/bao#BAO_0000449
138	CHMO	http://purl.obolibrary.org/obo/CHMO_0000068	LOOM	http://www.bioassayontology.org/bao#BAO_0000449
139	CHMO	http://purl.obolibrary.org/obo/OBI_0302893	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302893
140	CHMO	http://purl.obolibrary.org/obo/OBI_0001032	SAME_URI	http://purl.obolibrary.org/obo/OBI_0001032
141	CHMO	http://purl.obolibrary.org/obo/OBI_0001032	SAME_URI	http://purl.obolibrary.org/obo/OBI_0001032
142	CHMO	http://purl.obolibrary.org/obo/OBI_0400065	SAME_URI	http://purl.obolibrary.org/obo/OBI_0400065
143	CHMO	http://purl.obolibrary.org/obo/OBI_0200051	SAME_URI	http://purl.obolibrary.org/obo/OBI_0200051
144	CHMO	http://purl.obolibrary.org/obo/OBI_0001061	SAME_URI	http://purl.obolibrary.org/obo/OBI_0001061
145	CHMO	http://purl.obolibrary.org/obo/OBI_0000661	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000661
146	CHMO	http://purl.obolibrary.org/obo/OBI_0000070	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000070
147	CHMO	http://purl.obolibrary.org/obo/OBI_0000185	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000185
148	CHMO	http://purl.obolibrary.org/obo/OBI_0001042	SAME_URI	http://purl.obolibrary.org/obo/OBI_0001042
149	CHMO	http://purl.obolibrary.org/obo/OBI_0600014	SAME_URI	http://purl.obolibrary.org/obo/OBI_0600014
150	CHMO	http://purl.obolibrary.org/obo/OBI_0000094	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000094
151	CHMO	http://purl.obolibrary.org/obo/OBI_0000073	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000073
152	CHMO	http://purl.obolibrary.org/obo/OBI_0000838	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000838
153	CHMO	http://purl.obolibrary.org/obo/OBI_0000968	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000968
154	CHMO	http://purl.obolibrary.org/obo/OBI_0000796	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000796
155	CHMO	http://purl.obolibrary.org/obo/OBI_0000011	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000011
156	CHMO	http://purl.obolibrary.org/obo/OBI_0001138	SAME_URI	http://purl.obolibrary.org/obo/OBI_0001138
157	CHMO	http://purl.obolibrary.org/obo/OBI_0400064	SAME_URI	http://purl.obolibrary.org/obo/OBI_0400064
158	CHMO	http://purl.obolibrary.org/obo/OBI_0302888	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302888
159	CHMO	http://purl.obolibrary.org/obo/OBI_0000443	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000443
160	CHMO	http://purl.obolibrary.org/obo/OBI_0302912	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302912
161	CHMO	http://purl.obolibrary.org/obo/OBI_0302886	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302886
162	CHMO	http://purl.obolibrary.org/obo/OBI_0302893	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302893
163	CHMO	http://purl.obolibrary.org/obo/OBI_0302893	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302893
164	CHMO	http://purl.obolibrary.org/obo/OBI_0302893	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302893
165	CHMO	http://purl.obolibrary.org/obo/OBI_0302893	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302893
166	CHMO	http://purl.obolibrary.org/obo/OBI_0302893	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302893
167	CHMO	http://purl.obolibrary.org/obo/OBI_0302893	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302893
168	CHMO	http://purl.obolibrary.org/obo/OBI_0302893	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302893
169	CHMO	http://purl.obolibrary.org/obo/OBI_0302893	SAME_URI	http://purl.obolibrary.org/obo/OBI_0302893
