	source_ontology	source_id	map_method	target_id
0	EFO	http://www.bioassayontology.org/bao#BAO_0000925	SAME_URI	http://www.bioassayontology.org/bao#BAO_0000925
1	EFO	http://www.bioassayontology.org/bao#BAO_0000875	SAME_URI	http://www.bioassayontology.org/bao#BAO_0000875
4	EFO	http://www.ebi.ac.uk/efo/EFO_0010935	LOOM	http://www.bioassayontology.org/bao#BAO_0003003
7	EFO	http://purl.obolibrary.org/obo/PR_000001592	LOOM	http://www.bioassayontology.org/bao#BAO_0200241
8	EFO	http://purl.obolibrary.org/obo/PR_000001591	LOOM	http://www.bioassayontology.org/bao#BAO_0200240
9	EFO	http://www.ebi.ac.uk/efo/EFO_0002698	LOOM	http://www.bioassayontology.org/bao#BAO_0000514
13	EFO	http://www.ebi.ac.uk/efo/EFO_0022533	LOOM	http://www.bioassayontology.org/bao#BAO_0002683
14	EFO	http://www.ebi.ac.uk/efo/EFO_0006710	LOOM	http://www.bioassayontology.org/bao#BAO_0002707
16	EFO	http://purl.obolibrary.org/obo/PR_000001505	LOOM	http://www.bioassayontology.org/bao#BAO_0200222
17	EFO	http://www.ebi.ac.uk/efo/EFO_0007569	LOOM	http://www.bioassayontology.org/bao#BAO_0000648
18	EFO	http://purl.obolibrary.org/obo/CHEBI_37550	LOOM	http://www.bioassayontology.org/bao#BAO_0001020
19	EFO	http://purl.obolibrary.org/obo/CHEBI_17925	LOOM	http://www.bioassayontology.org/bao#BAO_0000845
20	EFO	http://www.ebi.ac.uk/efo/EFO_0002191	LOOM	http://www.bioassayontology.org/bao#BAO_0002709
21	EFO	http://purl.obolibrary.org/obo/CHEBI_28593	LOOM	http://www.bioassayontology.org/bao#BAO_0000797
22	EFO	http://purl.obolibrary.org/obo/PR_000017048	LOOM	http://www.bioassayontology.org/bao#BAO_0030048
23	EFO	http://purl.obolibrary.org/obo/CHEBI_36711	LOOM	http://www.bioassayontology.org/bao#BAO_0000991
24	EFO	http://purl.obolibrary.org/obo/PR_000001102	LOOM	http://www.bioassayontology.org/bao#BAO_0200011
25	EFO	http://www.ebi.ac.uk/efo/EFO_0001098	LOOM	http://www.bioassayontology.org/bao#BAO_0002708
26	EFO	http://purl.obolibrary.org/obo/PR_000001561	LOOM	http://www.bioassayontology.org/bao#BAO_0200342
27	EFO	http://purl.obolibrary.org/obo/CHEBI_15738	LOOM	http://www.bioassayontology.org/bao#BAO_0001021
28	EFO	http://purl.obolibrary.org/obo/PR_000005319	LOOM	http://www.bioassayontology.org/bao#BAO_0200364
29	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	LOOM	http://www.bioassayontology.org/bao#BAO_0000239
30	EFO	http://purl.obolibrary.org/obo/PR_000001629	LOOM	http://www.bioassayontology.org/bao#BAO_0200125
31	EFO	http://purl.obolibrary.org/obo/PR_000017055	LOOM	http://www.bioassayontology.org/bao#BAO_0030053
32	EFO	http://www.ebi.ac.uk/efo/EFO_0030037	LOOM	http://www.bioassayontology.org/bao#BAO_0010253
33	EFO	http://purl.obolibrary.org/obo/OBI_0000552	LOOM	http://www.bioassayontology.org/bao#BAO_0002089
35	EFO	http://purl.obolibrary.org/obo/CHEBI_47519	LOOM	http://www.bioassayontology.org/bao#BAO_0000796
