	source_ontology	source_id	map_method	target_id
0	MMO	http://purl.obolibrary.org/obo/MMO_0000534	LOOM	http://purl.obolibrary.org/obo/CHMO_0000470
1	MMO	http://purl.obolibrary.org/obo/MMO_0000534	LOOM	http://purl.obolibrary.org/obo/CHMO_0000470
2	MMO	http://purl.obolibrary.org/obo/MMO_0000721	LOOM	http://purl.obolibrary.org/obo/CHMO_0000715
3	MMO	http://purl.obolibrary.org/obo/MMO_0000709	LOOM	http://purl.obolibrary.org/obo/CHMO_0000591
4	MMO	http://purl.obolibrary.org/obo/MMO_0000170	LOOM	http://purl.obolibrary.org/obo/CHMO_0001082
5	MMO	http://purl.obolibrary.org/obo/MMO_0000170	LOOM	http://purl.obolibrary.org/obo/CHMO_0001082
6	MMO	http://purl.obolibrary.org/obo/MMO_0000470	LOOM	http://purl.obolibrary.org/obo/CHMO_0001015
7	MMO	http://purl.obolibrary.org/obo/MMO_0000327	LOOM	http://purl.obolibrary.org/obo/CHMO_0000001
8	MMO	http://purl.obolibrary.org/obo/MMO_0000379	LOOM	http://purl.obolibrary.org/obo/CHMO_0000243
9	MMO	http://purl.obolibrary.org/obo/MMO_0000685	LOOM	http://purl.obolibrary.org/obo/CHMO_0000103
10	MMO	http://purl.obolibrary.org/obo/MMO_0000685	LOOM	http://purl.obolibrary.org/obo/CHMO_0000103
11	MMO	http://purl.obolibrary.org/obo/MMO_0000845	LOOM	http://purl.obolibrary.org/obo/CHMO_0001006
12	MMO	http://purl.obolibrary.org/obo/MMO_0000845	LOOM	http://purl.obolibrary.org/obo/CHMO_0001006
13	MMO	http://purl.obolibrary.org/obo/MMO_0000468	LOOM	http://purl.obolibrary.org/obo/CHMO_0001001
14	MMO	http://purl.obolibrary.org/obo/MMO_0000468	LOOM	http://purl.obolibrary.org/obo/CHMO_0001001
15	MMO	http://purl.obolibrary.org/obo/MMO_0000535	LOOM	http://purl.obolibrary.org/obo/CHMO_0000524
16	MMO	http://purl.obolibrary.org/obo/MMO_0000173	LOOM	http://purl.obolibrary.org/obo/CHMO_0000291
17	MMO	http://purl.obolibrary.org/obo/MMO_0000537	LOOM	http://purl.obolibrary.org/obo/CHMO_0000796
18	MMO	http://purl.obolibrary.org/obo/MMO_0000680	LOOM	http://purl.obolibrary.org/obo/CHMO_0001694
19	MMO	http://purl.obolibrary.org/obo/MMO_0000536	LOOM	http://purl.obolibrary.org/obo/CHMO_0000497
20	MMO	http://purl.obolibrary.org/obo/MMO_0000682	LOOM	http://purl.obolibrary.org/obo/CHMO_0001691
21	MMO	http://purl.obolibrary.org/obo/MMO_0000469	LOOM	http://purl.obolibrary.org/obo/CHMO_0001002
22	MMO	http://purl.obolibrary.org/obo/MMO_0000534	LOOM	http://purl.obolibrary.org/obo/CHMO_0000470
23	MMO	http://purl.obolibrary.org/obo/MMO_0000289	LOOM	http://purl.obolibrary.org/obo/CHMO_0001007
24	MMO	http://purl.obolibrary.org/obo/MMO_0000380	LOOM	http://purl.obolibrary.org/obo/CHMO_0000239
25	MMO	http://purl.obolibrary.org/obo/MMO_0000238	LOOM	http://purl.obolibrary.org/obo/CHMO_0000322
26	MMO	http://purl.obolibrary.org/obo/MMO_0000287	LOOM	http://purl.obolibrary.org/obo/CHMO_0001019
27	MMO	http://purl.obolibrary.org/obo/MMO_0000287	LOOM	http://purl.obolibrary.org/obo/CHMO_0001019
28	MMO	http://purl.obolibrary.org/obo/MMO_0000394	LOOM	http://purl.obolibrary.org/obo/CHMO_0001009
29	MMO	http://purl.obolibrary.org/obo/MMO_0000394	LOOM	http://purl.obolibrary.org/obo/CHMO_0001009
30	MMO	http://purl.obolibrary.org/obo/MMO_0000471	LOOM	http://purl.obolibrary.org/obo/CHMO_0001016
31	MMO	http://purl.obolibrary.org/obo/MMO_0000288	LOOM	http://purl.obolibrary.org/obo/CHMO_0001000
32	MMO	http://purl.obolibrary.org/obo/MMO_0000288	LOOM	http://purl.obolibrary.org/obo/CHMO_0001000
33	MMO	http://purl.obolibrary.org/obo/MMO_0000736	LOOM	http://purl.obolibrary.org/obo/CHMO_0000538
34	MMO	http://purl.obolibrary.org/obo/MMO_0000736	LOOM	http://purl.obolibrary.org/obo/CHMO_0000538
35	MMO	http://purl.obolibrary.org/obo/MMO_0000100	LOOM	http://purl.obolibrary.org/obo/CHMO_0001021
36	MMO	http://purl.obolibrary.org/obo/MMO_0000100	LOOM	http://purl.obolibrary.org/obo/CHMO_0001021
37	MMO	http://purl.obolibrary.org/obo/MMO_0000684	LOOM	http://purl.obolibrary.org/obo/CHMO_0001011
38	MMO	http://purl.obolibrary.org/obo/MMO_0000759	LOOM	http://purl.obolibrary.org/obo/CHMO_0001102
39	MMO	http://purl.obolibrary.org/obo/MMO_0000678	LOOM	http://purl.obolibrary.org/obo/CHMO_0001209
40	MMO	http://purl.obolibrary.org/obo/MMO_0000426	LOOM	http://www.bioassayontology.org/bao#BAO_0002463
41	MMO	http://purl.obolibrary.org/obo/MMO_0000642	LOOM	http://www.bioassayontology.org/bao#BAO_0010252
42	MMO	http://purl.obolibrary.org/obo/MMO_0000642	LOOM	http://www.bioassayontology.org/bao#BAO_0010252
43	MMO	http://purl.obolibrary.org/obo/MMO_0000575	LOOM	http://www.bioassayontology.org/bao#BAO_0002094
44	MMO	http://purl.obolibrary.org/obo/MMO_0000426	LOOM	http://www.bioassayontology.org/bao#BAO_0002463
45	MMO	http://purl.obolibrary.org/obo/MMO_0000073	LOOM	http://www.bioassayontology.org/bao#BAO_0002428
46	MMO	http://purl.obolibrary.org/obo/MMO_0000073	LOOM	http://www.bioassayontology.org/bao#BAO_0002428
47	MMO	http://purl.obolibrary.org/obo/MMO_0000685	LOOM	http://www.bioassayontology.org/bao#BAO_0000453
48	MMO	http://purl.obolibrary.org/obo/MMO_0000685	LOOM	http://www.bioassayontology.org/bao#BAO_0000453
49	MMO	http://purl.obolibrary.org/obo/MMO_0000498	LOOM	http://www.bioassayontology.org/bao#BAO_0000415
50	MMO	http://purl.obolibrary.org/obo/MMO_0000498	LOOM	http://www.bioassayontology.org/bao#BAO_0000415
51	MMO	http://purl.obolibrary.org/obo/MMO_0000682	LOOM	http://www.bioassayontology.org/bao#BAO_0002508
52	MMO	http://purl.obolibrary.org/obo/MMO_0000682	LOOM	http://www.bioassayontology.org/bao#BAO_0002508
53	MMO	http://purl.obolibrary.org/obo/MMO_0000098	LOOM	http://www.bioassayontology.org/bao#BAO_0000129
54	MMO	http://purl.obolibrary.org/obo/MMO_0000098	LOOM	http://www.bioassayontology.org/bao#BAO_0000129
55	MMO	http://purl.obolibrary.org/obo/MMO_0000534	LOOM	http://www.bioassayontology.org/bao#BAO_0000055
56	MMO	http://purl.obolibrary.org/obo/MMO_0000534	LOOM	http://www.bioassayontology.org/bao#BAO_0000055
57	MMO	http://purl.obolibrary.org/obo/MMO_0000642	LOOM	http://www.bioassayontology.org/bao#BAO_0010252
58	MMO	http://purl.obolibrary.org/obo/MMO_0000642	LOOM	http://www.bioassayontology.org/bao#BAO_0010252
59	MMO	http://purl.obolibrary.org/obo/MMO_0000441	LOOM	http://www.bioassayontology.org/bao#BAO_0000015
60	MMO	http://purl.obolibrary.org/obo/MMO_0000441	LOOM	http://www.bioassayontology.org/bao#BAO_0000015
61	MMO	http://purl.obolibrary.org/obo/MMO_0000441	LOOM	http://www.bioassayontology.org/bao#BAO_0000015
62	MMO	http://purl.obolibrary.org/obo/MMO_0000441	LOOM	http://www.bioassayontology.org/bao#BAO_0000015
63	MMO	http://purl.obolibrary.org/obo/MMO_0000458	LOOM	http://www.bioassayontology.org/bao#BAO_0002419
64	MMO	http://purl.obolibrary.org/obo/MMO_0000458	LOOM	http://www.bioassayontology.org/bao#BAO_0002419
65	MMO	http://purl.obolibrary.org/obo/MMO_0000503	LOOM	http://www.bioassayontology.org/bao#BAO_0002805
66	MMO	http://purl.obolibrary.org/obo/MMO_0000503	LOOM	http://www.bioassayontology.org/bao#BAO_0002805
67	MMO	http://purl.obolibrary.org/obo/MMO_0000338	LOOM	http://www.bioassayontology.org/bao#BAO_0002424
68	MMO	http://purl.obolibrary.org/obo/MMO_0000338	LOOM	http://www.bioassayontology.org/bao#BAO_0002424
69	MMO	http://purl.obolibrary.org/obo/MMO_0000575	LOOM	http://www.bioassayontology.org/bao#BAO_0002094
70	MMO	http://purl.obolibrary.org/obo/MMO_0000127	LOOM	http://www.bioassayontology.org/bao#BAO_0002525
71	MMO	http://purl.obolibrary.org/obo/MMO_0000127	LOOM	http://www.bioassayontology.org/bao#BAO_0002525
72	MMO	http://purl.obolibrary.org/obo/MMO_0000759	LOOM	http://www.bioassayontology.org/bao#BAO_0002527
73	MMO	http://purl.obolibrary.org/obo/MMO_0000759	LOOM	http://www.bioassayontology.org/bao#BAO_0002527
74	MMO	http://purl.obolibrary.org/obo/MMO_0000659	LOOM	http://purl.obolibrary.org/obo/OBI_0001271
75	MMO	http://purl.obolibrary.org/obo/MMO_0000669	LOOM	http://purl.obolibrary.org/obo/OBI_0000854
76	MMO	http://purl.obolibrary.org/obo/MMO_0000459	LOOM	http://purl.obolibrary.org/obo/OBI_0002692
77	MMO	http://purl.obolibrary.org/obo/MMO_0000669	LOOM	http://purl.obolibrary.org/obo/OBI_0000854
78	MMO	http://purl.obolibrary.org/obo/MMO_0000459	LOOM	http://purl.obolibrary.org/obo/OBI_0002692
79	MMO	http://purl.obolibrary.org/obo/MMO_0000460	LOOM	http://purl.obolibrary.org/obo/OBI_0000893
80	MMO	http://purl.obolibrary.org/obo/MMO_0000655	LOOM	http://purl.obolibrary.org/obo/OBI_0001170
81	MMO	http://purl.obolibrary.org/obo/MMO_0000647	LOOM	http://purl.obolibrary.org/obo/OBI_0000860
82	MMO	http://purl.obolibrary.org/obo/MMO_0000647	LOOM	http://purl.obolibrary.org/obo/OBI_0000860
83	MMO	http://purl.obolibrary.org/obo/MMO_0000647	LOOM	http://purl.obolibrary.org/obo/OBI_0000860
84	MMO	http://purl.obolibrary.org/obo/MMO_0000647	LOOM	http://purl.obolibrary.org/obo/OBI_0000860
