	_id	measurementTechniqueIRIs
0	vivli_27755b7f-bcfa-47d2-a22a-265e03eb7e3b	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1	vivli_279f5183-b02a-4eed-9380-915439b33e43	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
2	vivli_27b73679-733f-48e6-81f2-859be82cd364	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
3	vivli_27cca688-a4ef-4291-afc4-d6769d221e05	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C49659']
4	vivli_27d7abc7-27cd-4864-af85-fbb8e16a14b9	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
5	vivli_2846d59a-f392-4fcc-932d-0d7747169a47	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
6	vivli_2854514a-844d-46d7-a60a-0a77c542a331	['http://purl.obolibrary.org/obo/NCIT_C82640']
7	vivli_288ab95d-145e-4d0b-8f77-e61290e8bc01	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
8	vivli_28d50c99-d2b2-49d6-987c-1ae7c831559b	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
9	vivli_28e7cb8c-eca9-45d7-88f4-2645b8ccc44a	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
10	vivli_28f382a6-caef-42e0-a91c-4e170a9a5f91	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
11	vivli_29044ec7-6219-471a-b34e-5aed6f5a448c	['http://purl.obolibrary.org/obo/NCIT_C98388', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
12	vivli_29189340-fe6b-4e59-a3d3-ee7faff1f2c3	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C49659']
13	vivli_294f0e1b-88cc-4969-8139-f38955d817a3	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C49659']
14	vivli_294fa5f4-30b5-4cce-8d6a-aa5d897e7711	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
15	vivli_294ff0a8-6d22-46be-8a11-b9e70af0bb07	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
16	vivli_2952b701-a1c9-4ff2-8e48-c830612ba648	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
17	vivli_29600d6c-a500-4376-9035-64ea5e8554ba	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
