	studytype	studymodel	designmodel	designmethod
0	OBSERVATIONAL	COHORT	PATIENT_REGISTRY	RETROSPECTIVE
1	OBSERVATIONAL	COHORT	PATIENT_REGISTRY	PROSPECTIVE
2	OBSERVATIONAL	COHORT	PATIENT_REGISTRY	CROSS_SECTIONAL
3	OBSERVATIONAL	COHORT	PATIENT_REGISTRY	OTHER
4	OBSERVATIONAL	COHORT	PATIENT_REGISTRY	NONE
5	OBSERVATIONAL	COHORT	NOT_REGISTRY	RETROSPECTIVE
6	OBSERVATIONAL	COHORT	NOT_REGISTRY	PROSPECTIVE
7	OBSERVATIONAL	COHORT	NOT_REGISTRY	CROSS_SECTIONAL
8	OBSERVATIONAL	COHORT	NOT_REGISTRY	OTHER
9	OBSERVATIONAL	COHORT	NOT_REGISTRY	NONE
10	OBSERVATIONAL	COHORT	NONE	RETROSPECTIVE
11	OBSERVATIONAL	COHORT	NONE	PROSPECTIVE
12	OBSERVATIONAL	COHORT	NONE	CROSS_SECTIONAL
13	OBSERVATIONAL	COHORT	NONE	OTHER
14	OBSERVATIONAL	COHORT	NONE	NONE
15	OBSERVATIONAL	CASE_CONTROL	PATIENT_REGISTRY	RETROSPECTIVE
16	OBSERVATIONAL	CASE_CONTROL	PATIENT_REGISTRY	PROSPECTIVE
17	OBSERVATIONAL	CASE_CONTROL	PATIENT_REGISTRY	CROSS_SECTIONAL
18	OBSERVATIONAL	CASE_CONTROL	PATIENT_REGISTRY	OTHER
19	OBSERVATIONAL	CASE_CONTROL	PATIENT_REGISTRY	NONE
20	OBSERVATIONAL	CASE_CONTROL	NOT_REGISTRY	RETROSPECTIVE
21	OBSERVATIONAL	CASE_CONTROL	NOT_REGISTRY	PROSPECTIVE
22	OBSERVATIONAL	CASE_CONTROL	NOT_REGISTRY	CROSS_SECTIONAL
23	OBSERVATIONAL	CASE_CONTROL	NOT_REGISTRY	OTHER
24	OBSERVATIONAL	CASE_CONTROL	NOT_REGISTRY	NONE
25	OBSERVATIONAL	CASE_CONTROL	NONE	RETROSPECTIVE
26	OBSERVATIONAL	CASE_CONTROL	NONE	PROSPECTIVE
27	OBSERVATIONAL	CASE_CONTROL	NONE	CROSS_SECTIONAL
28	OBSERVATIONAL	CASE_CONTROL	NONE	OTHER
29	OBSERVATIONAL	CASE_CONTROL	NONE	NONE
30	OBSERVATIONAL	CASE_ONLY	PATIENT_REGISTRY	RETROSPECTIVE
31	OBSERVATIONAL	CASE_ONLY	PATIENT_REGISTRY	PROSPECTIVE
32	OBSERVATIONAL	CASE_ONLY	PATIENT_REGISTRY	CROSS_SECTIONAL
33	OBSERVATIONAL	CASE_ONLY	PATIENT_REGISTRY	OTHER
34	OBSERVATIONAL	CASE_ONLY	PATIENT_REGISTRY	NONE
35	OBSERVATIONAL	CASE_ONLY	NOT_REGISTRY	RETROSPECTIVE
