	subject_id	predicate_id	object_id	subject	object	predicate	value
0	http://www.bioassayontology.org/bao#BAO_0002540	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	ECL western blotting detection kit	assay kit	subClassOf	1
1	http://www.bioassayontology.org/bao#BAO_0010204	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003008	transporter substrate assay	transporter assay	subClassOf	1
11	http://edamontology.org/topic_3673	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002445		genotyping method	subClassOf	1
13	http://www.bioassayontology.org/bao#BAO_0010005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003003	single cell protein secretion microfluidic assay	cytokine secretion assay	subClassOf	1
14	http://www.bioassayontology.org/bao#BAO_0010009	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	physicochemical assay	bioassay	subClassOf	1
15	http://www.bioassayontology.org/bao#BAO_0010001	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003583	cell viability ATP quantitation assay	cell viability assay	subClassOf	1
21	http://www.bioassayontology.org/bao#BAO_0000468	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002429	signal quantitation method	assay supporting method	subClassOf	1
23	http://purl.obolibrary.org/obo/CHMO_0000063	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000050	bioluminescence resonance energy transfer	bioluminescence	subClassOf	1
24	http://www.bioassayontology.org/bao#BAO_0000466	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000098	ex situ immunoassay	immunoassay	subClassOf	1
27	http://www.bioassayontology.org/bao#BAO_0003000	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	rna splicing assay	bioassay	subClassOf	1
28	http://www.bioassayontology.org/bao#BAO_0003007	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003002	second messenger assay	signal transduction assay	subClassOf	1
29	http://www.bioassayontology.org/bao#BAO_0003001	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	sensitizer assay	bioassay	subClassOf	1
30	http://www.bioassayontology.org/bao#BAO_0003003	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000042	cytokine secretion assay	Cue Signal Response assay	subClassOf	1
31	http://www.bioassayontology.org/bao#BAO_0003005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003004	phosphorylation assay	posttranslation modification assay	subClassOf	1
32	http://www.bioassayontology.org/bao#BAO_0003005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000042	phosphorylation assay	Cue Signal Response assay	subClassOf	1
33	http://www.bioassayontology.org/bao#BAO_0003002	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	signal transduction assay	bioassay	subClassOf	1
34	http://purl.obolibrary.org/obo/OBI_0003583	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	cell viability assay	bioassay	subClassOf	1
35	http://www.bioassayontology.org/bao#BAO_0003004	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003002	posttranslation modification assay	signal transduction assay	subClassOf	1
36	http://www.bioassayontology.org/bao#BAO_0003008	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	transporter assay	bioassay	subClassOf	1
37	http://purl.obolibrary.org/obo/OBI_0002082	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010044	reporter gene assay	targeted transcriptional assay	subClassOf	1
38	http://www.bioassayontology.org/bao#BAO_0002095	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000575	bioinformatics method	computational method	subClassOf	1
39	http://www.bioassayontology.org/bao#BAO_0002090	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0000552	quantitative reverse transcription PCR	reverse transcription PCR	subClassOf	1
40	http://www.bioassayontology.org/bao#BAO_0002090	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0000552	quantitative reverse transcription PCR	reverse transcribed polymerase chain reaction	subClassOf	1
41	http://purl.obolibrary.org/obo/MMO_0000575	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002753	computational method	assay method component	subClassOf	1
42	http://purl.obolibrary.org/obo/MMO_0000496	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000448	histology	morphology assessment method	subClassOf	1
43	http://www.bioassayontology.org/bao#BAO_0000514	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000512	array	assay footprint	subClassOf	1
44	http://www.bioassayontology.org/bao#BAO_0000333	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0140017	P450-Glo CYP2C9 Screening System	Luciferase-based ('Glo') Assay System (Promega)	subClassOf	1
45	http://www.bioassayontology.org/bao#BAO_0000923	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	GeneBLAzer	assay kit	subClassOf	1
46	http://www.bioassayontology.org/bao#BAO_0000649	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000379	calcium redistribution assay	second messenger redistribution assay	subClassOf	1
47	http://www.bioassayontology.org/bao#BAO_0000649	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000819	calcium redistribution assay	ion redistribution assay	subClassOf	1
48	http://www.bioassayontology.org/bao#BAO_0002982	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics Mitotic Index Kit	assay kit	subClassOf	1
49	http://www.bioassayontology.org/bao#BAO_0002983	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics Multiparameter Cytotoxicity 1 Kit	assay kit	subClassOf	1
50	http://www.bioassayontology.org/bao#BAO_0002985	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics Multiplexed p53 and p21 Detection Kit	assay kit	subClassOf	1
51	http://www.bioassayontology.org/bao#BAO_0002984	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics Multiplexed NFκB and c-Jun Activation Kit	assay kit	subClassOf	1
52	http://purl.obolibrary.org/obo/OBI_0001146	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	binding assay	bioassay	subClassOf	1
53	http://www.bioassayontology.org/bao#BAO_0002986	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics p38 MAPK Activation Kit	assay kit	subClassOf	1
54	http://www.bioassayontology.org/bao#BAO_0002981	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics Cytoskeletal Rearrangement Kit	assay kit	subClassOf	1
55	http://www.bioassayontology.org/bao#BAO_0002980	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics c-Jun Activation Kit	assay kit	subClassOf	1
59	http://www.bioassayontology.org/bao#BAO_0040031	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002202	size separation method	assay design method	subClassOf	1
60	http://www.bioassayontology.org/bao#BAO_0040033	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000123	ligand covalent binding method	binding assessment method	subClassOf	1
71	http://purl.obolibrary.org/obo/CHMO_0000701	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040031	liquid chromatography-tandem mass spectrometry	size separation method	subClassOf	1
73	http://www.bioassayontology.org/bao#BAO_0000873	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Calcium 5 Assay Kit	assay kit	subClassOf	1
74	http://www.bioassayontology.org/bao#BAO_0002482	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002481	propidium iodide exclusion	dye exclusion method	subClassOf	1
75	http://www.bioassayontology.org/bao#BAO_0002481	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002480	dye exclusion method	vital dye staining	subClassOf	1
76	http://www.bioassayontology.org/bao#BAO_0002485	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002429	reconstitution method	assay supporting method	subClassOf	1
89	http://www.bioassayontology.org/bao#BAO_0010173	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010157	UGT inhibition assay	enzyme inhibition assay	subClassOf	1
94	http://www.bioassayontology.org/bao#BAO_0002248	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000575	cheminformatics method	computational method	subClassOf	1
95	http://www.bioassayontology.org/bao#BAO_0002245	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002244	multiple sequence alignment	sequence alignment by type	subClassOf	1
96	http://www.bioassayontology.org/bao#BAO_0002246	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002244	pairwise sequence alignment	sequence alignment by type	subClassOf	1
98	http://www.bioassayontology.org/bao#BAO_0002244	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0002567	sequence alignment by type	sequence alignment	subClassOf	1
