	subject_id	predicate_id	object_id	subject	object	predicate	value
1	http://www.bioassayontology.org/bao#BAO_0010204	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003008	transporter substrate assay	transporter assay	subClassOf	1
9	http://www.bioassayontology.org/bao#BAO_0010205	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010204	efflux transporter substrate assay	transporter substrate assay	subClassOf	1
14	http://www.bioassayontology.org/bao#BAO_0010009	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	physicochemical assay	bioassay	subClassOf	1
18	http://www.bioassayontology.org/bao#BAO_0010007	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010095	plasma stability assay	metabolic stability assay	subClassOf	1
20	http://www.bioassayontology.org/bao#BAO_0010008	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010083	Caco-2 permeability assay	permeability assay	subClassOf	1
21	http://www.bioassayontology.org/bao#BAO_0000468	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002429	signal quantitation method	assay supporting method	subClassOf	1
24	http://www.bioassayontology.org/bao#BAO_0000466	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000098	ex situ immunoassay	immunoassay	subClassOf	1
30	http://www.bioassayontology.org/bao#BAO_0003003	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000042	cytokine secretion assay	Cue Signal Response assay	subClassOf	1
31	http://www.bioassayontology.org/bao#BAO_0003005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003004	phosphorylation assay	posttranslation modification assay	subClassOf	1
32	http://www.bioassayontology.org/bao#BAO_0003005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000042	phosphorylation assay	Cue Signal Response assay	subClassOf	1
33	http://www.bioassayontology.org/bao#BAO_0003002	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	signal transduction assay	bioassay	subClassOf	1
34	http://purl.obolibrary.org/obo/OBI_0003583	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	cell viability assay	bioassay	subClassOf	1
35	http://www.bioassayontology.org/bao#BAO_0003004	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003002	posttranslation modification assay	signal transduction assay	subClassOf	1
36	http://www.bioassayontology.org/bao#BAO_0003008	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	transporter assay	bioassay	subClassOf	1
37	http://purl.obolibrary.org/obo/OBI_0002082	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010044	reporter gene assay	targeted transcriptional assay	subClassOf	1
38	http://www.bioassayontology.org/bao#BAO_0002095	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000575	bioinformatics method	computational method	subClassOf	1
41	http://purl.obolibrary.org/obo/MMO_0000575	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002753	computational method	assay method component	subClassOf	1
42	http://purl.obolibrary.org/obo/MMO_0000496	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000448	histology	morphology assessment method	subClassOf	1
43	http://www.bioassayontology.org/bao#BAO_0000514	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000512	array	assay footprint	subClassOf	1
52	http://purl.obolibrary.org/obo/OBI_0001146	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	binding assay	bioassay	subClassOf	1
59	http://www.bioassayontology.org/bao#BAO_0040031	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002202	size separation method	assay design method	subClassOf	1
60	http://www.bioassayontology.org/bao#BAO_0040033	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000123	ligand covalent binding method	binding assessment method	subClassOf	1
63	http://www.bioassayontology.org/bao#BAO_0040034	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040033	lysine ligand covalent binding method	ligand covalent binding method	subClassOf	1
68	http://www.bioassayontology.org/bao#BAO_0000505	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000514	protein array	array	subClassOf	1
69	http://www.bioassayontology.org/bao#BAO_0000504	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000514	nucleic acid array	array	subClassOf	1
71	http://purl.obolibrary.org/obo/CHMO_0000701	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040031	liquid chromatography-tandem mass spectrometry	size separation method	subClassOf	1
75	http://www.bioassayontology.org/bao#BAO_0002481	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002480	dye exclusion method	vital dye staining	subClassOf	1
76	http://www.bioassayontology.org/bao#BAO_0002485	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002429	reconstitution method	assay supporting method	subClassOf	1
77	http://www.bioassayontology.org/bao#BAO_0002488	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002486	genetic complementation	complementation method	subClassOf	1
