	subject_id	predicate_id	object_id	subject	object	predicate
0	http://purl.obolibrary.org/obo/OBI_0002117	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002445	whole genome sequencing assay	genotyping method	subClassOf
1	http://purl.obolibrary.org/obo/MMO_0000496	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000448	histology	morphology assessment method	subClassOf
5	http://purl.obolibrary.org/obo/NCIT_C20604	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002128	Affinity	physical property endpoint	subClassOf
19	http://purl.obolibrary.org/obo/NCIT_C70726	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C70705	Planned Clinical Study Activity	Component of Study Protocol	subClassOf
28	http://purl.obolibrary.org/obo/NCIT_C174127	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C91102	Decision Question	Clinical or Research Assessment Question	subClassOf
62	http://purl.obolibrary.org/obo/NCIT_C191230	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C181302	Helper 1 T-Lymphocyte to Helper T-Lymphocyte Ratio Measurement	Helper T-Lymphocytes Count	subClassOf
63	http://purl.obolibrary.org/obo/NCIT_C191230	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C67208	Helper 1 T-Lymphocyte to Helper T-Lymphocyte Ratio Measurement	Blood Cell Count Ratio Measurement	subClassOf
98	http://purl.obolibrary.org/obo/NCIT_C112923	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C15653	Drying Method	Drug Formulation Process	subClassOf
112	http://purl.obolibrary.org/obo/NCIT_C97452	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C1589	Nucleoside Reverse Transcriptase Inhibitor	Reverse Transcriptase Inhibitor	subClassOf
113	http://purl.obolibrary.org/obo/NCIT_C97453	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C1589	Non-nucleoside Reverse Transcriptase Inhibitor	Reverse Transcriptase Inhibitor	subClassOf
117	http://purl.obolibrary.org/obo/NCIT_C126849	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C126834	GAIA Postpartum Hemorrhage Level of Diagnostic Certainty	GAIA Obstetric Case Definitions	subClassOf
122	http://purl.obolibrary.org/obo/NCIT_C63786	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C19044	Constant Normalization	Statistical Technique	subClassOf
123	http://purl.obolibrary.org/obo/NCIT_C107400	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C91102	Overall Well-Being	Clinical or Research Assessment Question	subClassOf
137	http://purl.obolibrary.org/obo/NCIT_C16622	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C68753	Genetic Marker	Genomic Biomarker	subClassOf
138	http://purl.obolibrary.org/obo/NCIT_C16623	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C20368	Genetic Technique	Research Technique	subClassOf
181	http://purl.obolibrary.org/obo/NCIT_C177309	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C111073	Seminoma International Germ Cell Tumor Consensus Risk Classification	International Germ Cell Consensus Risk Classification	subClassOf
182	http://purl.obolibrary.org/obo/NCIT_C191264	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C189427	Naive Helper T-Lymphocyte Subpopulation to Helper T-Lymphocyte Ratio Measurement	Helper T-Lymphocyte Subpopulation to Helper T-Lymphocyte Ratio Measurement	subClassOf
183	http://purl.obolibrary.org/obo/NCIT_C191264	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C191265	Naive Helper T-Lymphocyte Subpopulation to Helper T-Lymphocyte Ratio Measurement	Naive Helper T-Lymphocyte to Helper T-Lymphocyte Ratio Measurement	subClassOf
226	http://purl.obolibrary.org/obo/NCIT_C202028	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C25385	Hospital Admission	Admission	subClassOf
250	http://purl.obolibrary.org/obo/NCIT_C184329	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C74803	Dietary Vitamin Measurement	Vitamin Measurement	subClassOf
251	http://purl.obolibrary.org/obo/NCIT_C184329	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C184328	Dietary Vitamin Measurement	Dietary Component Measurement	subClassOf
255	http://purl.obolibrary.org/obo/NCIT_C18869	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C17369	Medical Imaging, Virtual Reality	Imaging Technique	subClassOf
262	http://purl.obolibrary.org/obo/NCIT_C82509	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C25404	Other Action Taken	Action	subClassOf
264	http://purl.obolibrary.org/obo/NCIT_C82505	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C70705	Unplanned Element Description	Component of Study Protocol	subClassOf
275	http://purl.obolibrary.org/obo/NCIT_C173563	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C91102	How Helpful Question	Clinical or Research Assessment Question	subClassOf
276	http://purl.obolibrary.org/obo/NCIT_C130301	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C91102	WHODAS 2.0 12-item Version Proxy-administered Questionnaire Question	Clinical or Research Assessment Question	subClassOf
279	http://purl.obolibrary.org/obo/NCIT_C181186	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C122157	Cytotoxic T-Lymphocyte Count	T-Lymphocyte Count	subClassOf
289	http://purl.obolibrary.org/obo/NCIT_C154752	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C62662	Factor VIII Inhibitor Measurement	Coagulation Study	subClassOf
290	http://purl.obolibrary.org/obo/NCIT_C177280	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C177430	Asparaginase-based Agent	Agent Targeting Cancer Metabolism	subClassOf
291	http://purl.obolibrary.org/obo/NCIT_C177280	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C29726	Asparaginase-based Agent	Enzyme Replacement or Supplement Agent	subClassOf
292	http://purl.obolibrary.org/obo/NCIT_C158938	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C157106	Specify Other MET Mutation	Specify Other	subClassOf
293	http://purl.obolibrary.org/obo/NCIT_C158938	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C158845	Specify Other MET Mutation	Specify Identified Mutation	subClassOf
294	http://purl.obolibrary.org/obo/NCIT_C138280	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C91102	PedsQL Neuromuscular Module Version 3.0 Parent Report for Child Questionnaire Question	Clinical or Research Assessment Question	subClassOf
323	http://purl.obolibrary.org/obo/NCIT_C73111	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C70880	Application to Market New Drug, Biologic, or Antibiotic for Human Use	Pre-market Approval Application	subClassOf
326	http://purl.obolibrary.org/obo/NCIT_C73110	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C19498	Food, Drugs, and Medical Devices Regulatory Document	Document	subClassOf
331	http://purl.obolibrary.org/obo/NCIT_C133518	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.ebi.ac.uk/efo/EFO_0010063	Line of Therapy	Therapeutic Procedure	subClassOf
348	http://purl.obolibrary.org/obo/NCIT_C93337	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C15313	High-energy Photon Therapy	Radiation Therapy	subClassOf
353	http://purl.obolibrary.org/obo/NCIT_C93338	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C93337	X-ray Therapy	High-energy Photon Therapy	subClassOf
365	http://purl.obolibrary.org/obo/NCIT_C167438	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C167410	Heart Murmur Categorized by Phase or Timing	ACC/AHA Measure	subClassOf
373	http://purl.obolibrary.org/obo/NCIT_C111353	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C91102	C-SSRS Children's Since Last Visit Questionnaire Question	Clinical or Research Assessment Question	subClassOf
377	http://purl.obolibrary.org/obo/NCIT_C183148	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C17753	Reflectance Confocal Microscopy	Confocal Microscopy	subClassOf
389	http://purl.obolibrary.org/obo/NCIT_C80365	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C62662	Thrombin Time	Coagulation Study	subClassOf
390	http://purl.obolibrary.org/obo/NCIT_C80365	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C92745	Thrombin Time	Blood Protein Measurement	subClassOf
410	http://purl.obolibrary.org/obo/NCIT_C116456	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000019	Low Field Strength Magnetic Resonance Imaging	magnetic resonance imaging	subClassOf
422	http://purl.obolibrary.org/obo/NCIT_C38101	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C16502	X-Ray Imaging	Diagnostic Imaging	subClassOf
427	http://purl.obolibrary.org/obo/NCIT_C203677	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C481	ER-targeting Agent	Antiestrogen	subClassOf
428	http://purl.obolibrary.org/obo/NCIT_C203677	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C163758	ER-targeting Agent	Targeted Therapy Agent	subClassOf
430	http://purl.obolibrary.org/obo/NCIT_C188432	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C124703	Tanner Genitalia Development Scale in Males	Tanner Scale Boy Version	subClassOf
431	http://purl.obolibrary.org/obo/NCIT_C138129	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C16830	Radiation Source	Medical Device	subClassOf
432	http://purl.obolibrary.org/obo/NCIT_C61547	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C63474	Counseling	Behavioral, Psychological or Informational Intervention	subClassOf
439	http://purl.obolibrary.org/obo/NCIT_C202013	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C20985	Prostate Ablation	Ablation Therapy	subClassOf
458	http://purl.obolibrary.org/obo/NCIT_C128940	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C16502	Radiographic Examination	Diagnostic Imaging	subClassOf
460	http://purl.obolibrary.org/obo/NCIT_C184363	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C184361	Effector 2 B-Lymphocyte Count	Effector B-Lymphocyte Subpopulation Count	subClassOf
474	http://purl.obolibrary.org/obo/NCIT_C141559	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C121547	Nausea Visual Analogue Scale	Visual Analog Scale	subClassOf
495	http://purl.obolibrary.org/obo/NCIT_C2590	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C1663	Anti-Idiotype Vaccine	Antineoplastic Vaccine	subClassOf
501	http://purl.obolibrary.org/obo/NCIT_C125753	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C91102	Expanded DRS-PI Survivor Version Questionnaire Question	Clinical or Research Assessment Question	subClassOf
580	http://purl.obolibrary.org/obo/NCIT_C199504	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C91102	Functional Assessment of Chronic Illness Therapy-Item GP5 Version 4 Questionnaire Question	Clinical or Research Assessment Question	subClassOf
582	http://purl.obolibrary.org/obo/NCIT_C192728	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C129824	HIF-2alpha Inhibitor	Antineoplastic Protein Inhibitor	subClassOf
596	http://purl.obolibrary.org/obo/NCIT_C159343	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C173398	How Much Effort Did it Take	Have Trouble or Difficulty Question	subClassOf
598	http://purl.obolibrary.org/obo/NCIT_C71104	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C15206	Clinical Trial	Clinical Study	subClassOf
