	subject_id	predicate_id	object_id	subject	object	predicate	value
23	http://purl.obolibrary.org/obo/CHMO_0000063	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000050	bioluminescence resonance energy transfer	bioluminescence	subClassOf	1
30	http://www.bioassayontology.org/bao#BAO_0003003	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000042	cytokine secretion assay	Cue Signal Response assay	subClassOf	1
31	http://www.bioassayontology.org/bao#BAO_0003005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003004	phosphorylation assay	posttranslation modification assay	subClassOf	1
32	http://www.bioassayontology.org/bao#BAO_0003005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000042	phosphorylation assay	Cue Signal Response assay	subClassOf	1
34	http://purl.obolibrary.org/obo/OBI_0003583	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	cell viability assay	bioassay	subClassOf	1
37	http://purl.obolibrary.org/obo/OBI_0002082	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010044	reporter gene assay	targeted transcriptional assay	subClassOf	1
39	http://www.bioassayontology.org/bao#BAO_0002090	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0000552	quantitative reverse transcription PCR	reverse transcription PCR	subClassOf	1
41	http://purl.obolibrary.org/obo/MMO_0000575	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002753	computational method	assay method component	subClassOf	1
42	http://purl.obolibrary.org/obo/MMO_0000496	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000448	histology	morphology assessment method	subClassOf	1
46	http://www.bioassayontology.org/bao#BAO_0000649	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000379	calcium redistribution assay	second messenger redistribution assay	subClassOf	1
47	http://www.bioassayontology.org/bao#BAO_0000649	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000819	calcium redistribution assay	ion redistribution assay	subClassOf	1
52	http://purl.obolibrary.org/obo/OBI_0001146	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	binding assay	bioassay	subClassOf	1
71	http://purl.obolibrary.org/obo/CHMO_0000701	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040031	liquid chromatography-tandem mass spectrometry	size separation method	subClassOf	1
100	http://www.bioassayontology.org/bao#BAO_0002240	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002245	Clustal sequence alignment	multiple sequence alignment	subClassOf	1
101	http://www.bioassayontology.org/bao#BAO_0002240	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002239	Clustal sequence alignment	progressive system alignment	subClassOf	1
161	http://www.bioassayontology.org/bao#BAO_0002305	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000575	quantitative structure activity relationship analysis	computational method	subClassOf	1
162	http://www.bioassayontology.org/bao#BAO_0002305	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002410	quantitative structure activity relationship analysis	structure activity relationship analysis	subClassOf	1
167	http://purl.obolibrary.org/obo/OBI_0001148	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002431	gene knock out	gene expression modulation method	subClassOf	1
195	http://www.bioassayontology.org/bao#BAO_0002460	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002462	sulforhodamine B staining	colorimetric protein staining method	subClassOf	1
196	http://www.bioassayontology.org/bao#BAO_0002460	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002455	sulforhodamine B staining	colorimetric cell staining method	subClassOf	1
199	http://purl.obolibrary.org/obo/MMO_0000426	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002462	Bradford protein assay	colorimetric protein staining method	subClassOf	1
202	http://www.bioassayontology.org/bao#BAO_0002461	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002481	trypan blue cell staining	dye exclusion method	subClassOf	1
203	http://www.bioassayontology.org/bao#BAO_0002461	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002455	trypan blue cell staining	colorimetric cell staining method	subClassOf	1
207	http://purl.obolibrary.org/obo/OBI_0003369	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003112	assay kit	assay bioassay component	subClassOf	1
212	http://www.bioassayontology.org/bao#BAO_0000245	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002155	transfection method	silencing RNA delivery method	subClassOf	1
213	http://www.bioassayontology.org/bao#BAO_0000245	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000241	transfection method	genetic modification method	subClassOf	1
220	http://www.bioassayontology.org/bao#BAO_0010060	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003583	MEMA cell growth assay	cell viability assay	subClassOf	1
221	http://www.bioassayontology.org/bao#BAO_0010060	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002991	MEMA cell growth assay	cell morphology assay	subClassOf	1
222	http://www.bioassayontology.org/bao#BAO_0010060	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002100	MEMA cell growth assay	cell growth assay	subClassOf	1
231	http://purl.obolibrary.org/obo/CHMO_0000064	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000046	fluorescence resonance energy transfer	fluorescence method	subClassOf	1
233	http://purl.obolibrary.org/obo/CHMO_0000061	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000046	flow cytometry	fluorescence method	subClassOf	1
263	http://www.bioassayontology.org/bao#BAO_0010081	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010080	TRUPath	Heterotrimeric G-protein dissassociation assay	subClassOf	1
264	http://www.bioassayontology.org/bao#BAO_0010081	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010077	TRUPath	GPCR Signaling	subClassOf	1
265	http://www.bioassayontology.org/bao#BAO_0010081	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002990	TRUPath	protein-protein interaction assay	subClassOf	1
281	http://www.bioassayontology.org/bao#BAO_0002198	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002429	delivery method	assay supporting method	subClassOf	1
315	http://purl.obolibrary.org/obo/CHMO_0000120	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	scanning near-field optical microscopy	optical microscopy	subClassOf	1
318	http://www.bioassayontology.org/bao#BAO_0002513	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	vibrational spectroscopic imaging	optical microscopy	subClassOf	1
322	http://purl.obolibrary.org/obo/CHMO_0002177	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	dark-field microscopy	optical microscopy	subClassOf	1
324	http://purl.obolibrary.org/obo/CHMO_0000107	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	differential interference contrast microscopy	optical microscopy	subClassOf	1
339	http://purl.obolibrary.org/obo/OBI_0002964	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0001146	KiNativ assay	binding assay	subClassOf	1
378	http://purl.obolibrary.org/obo/MMO_0000073	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000466	radioimmunoassay	ex situ immunoassay	subClassOf	1
394	http://purl.obolibrary.org/obo/CHMO_0000094	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000087	total internal reflection fluorescence microscopy	fluorescence microscopy	subClassOf	1
408	http://purl.obolibrary.org/obo/CHMO_0002536	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002413	volumetric titration	titration method	subClassOf	1
410	http://www.bioassayontology.org/bao#BAO_0002450	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002445	nucleic acid amplification method	genotyping method	subClassOf	1
411	http://www.bioassayontology.org/bao#BAO_0002450	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003034	nucleic acid amplification method	nucleic acid identification and quantitation method	subClassOf	1
427	http://purl.obolibrary.org/obo/CHMO_0000104	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	bright-field microscopy	optical microscopy	subClassOf	1
429	http://purl.obolibrary.org/obo/CHMO_0001077	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000427	quartz crystal microbalance	label free method	subClassOf	1
430	http://purl.obolibrary.org/obo/CHMO_0000110	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	phase contrast microscopy	optical microscopy	subClassOf	1
433	http://purl.obolibrary.org/obo/CHMO_0000102	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000067	optical microscopy	microscopy	subClassOf	1
436	http://purl.obolibrary.org/obo/MMO_0000685	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	confocal microscopy	optical microscopy	subClassOf	1
440	http://purl.obolibrary.org/obo/CHMO_0000087	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	fluorescence microscopy	optical microscopy	subClassOf	1
456	http://www.bioassayontology.org/bao#BAO_0002286	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002284	CHARMM force field simulation	classical force field simulation	subClassOf	1
457	http://www.bioassayontology.org/bao#BAO_0002286	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002398	CHARMM force field simulation	force field based scoring function	subClassOf	1
499	http://purl.obolibrary.org/obo/OBI_0001149	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002431	gene knock in	gene expression modulation method	subClassOf	1
500	http://purl.obolibrary.org/obo/OBI_0002625	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002431	gene knockdown	gene expression modulation method	subClassOf	1
503	http://purl.obolibrary.org/obo/MMO_0000660	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002447	serial analysis of gene expression assay	nucleic acid sequencing method	subClassOf	1
523	http://purl.obolibrary.org/obo/CHMO_0000999	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002429	separation method	assay supporting method	subClassOf	1
530	http://purl.obolibrary.org/obo/MMO_0000682	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002502	immunoprecipitation	antibody-based separation method	subClassOf	1
543	http://purl.obolibrary.org/obo/OBI_0000716	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010032	ChIP-seq assay	targeted epigenetic assay	subClassOf	1
549	http://purl.obolibrary.org/obo/OBI_0000748	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010036	bisulfite sequencing assay	epigenetic profiling assay	subClassOf	1
560	http://purl.obolibrary.org/obo/OBI_0000415	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002450	polymerase chain reaction	nucleic acid amplification method	subClassOf	1
561	http://purl.obolibrary.org/obo/OBI_0000552	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0000415	reverse transcription PCR	polymerase chain reaction	subClassOf	1
564	http://www.bioassayontology.org/bao#BAO_0002188	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	drug interaction assay	bioassay	subClassOf	1
565	http://www.bioassayontology.org/bao#BAO_0002188	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002533	drug interaction assay	safety pharmacology assay	subClassOf	1
582	http://www.bioassayontology.org/bao#BAO_0010253	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000503	T-cell activation assay	cell proliferation assay	subClassOf	1
585	http://purl.obolibrary.org/obo/MMO_0000642	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	protein expression assay	bioassay	subClassOf	1
605	http://www.bioassayontology.org/bao#BAO_0002235	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002245	DIALIGN sequence alignment	multiple sequence alignment	subClassOf	1
606	http://www.bioassayontology.org/bao#BAO_0002235	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002233	DIALIGN sequence alignment	global sequence alignment	subClassOf	1
610	http://purl.obolibrary.org/obo/OBI_0002567	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002095	sequence alignment	bioinformatics method	subClassOf	1
676	http://purl.obolibrary.org/obo/OBI_0400147	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002995	microarray	transcriptional profiling assay	subClassOf	1
681	http://purl.obolibrary.org/obo/MMO_0000441	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003112	bioassay	assay bioassay component	subClassOf	1
691	http://purl.obolibrary.org/obo/OBI_0500016	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002336	fractional factorial design	experimental design method	subClassOf	1
701	http://purl.obolibrary.org/obo/OBI_0200080	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002353	network analysis	pathway analysis by method	subClassOf	1
708	http://purl.obolibrary.org/obo/CHMO_0000683	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000427	isothermal titration calorimetry	label free method	subClassOf	1
724	http://purl.obolibrary.org/obo/MMO_0000759	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000657	autoradiography	radiometry method	subClassOf	1
726	http://purl.obolibrary.org/obo/CHMO_0000067	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000452	microscopy	imaging method	subClassOf	1
727	http://purl.obolibrary.org/obo/MMO_0000127	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000452	tomography	imaging method	subClassOf	1
731	http://www.bioassayontology.org/bao#BAO_0002228	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002216	structure alignment	3D structure prediction	subClassOf	1
754	http://purl.obolibrary.org/obo/CHMO_0000068	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000067	electron microscopy	microscopy	subClassOf	1
756	http://www.bioassayontology.org/bao#BAO_0010023	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000512	chip	assay footprint	subClassOf	1
759	http://purl.obolibrary.org/obo/OBI_0002958	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010026	SWATH-MS protein profiling assay	protein profiling assay	subClassOf	1
789	http://www.bioassayontology.org/bao#BAO_0002261	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002260	2D structure similarity search	structure similarity search	subClassOf	1
790	http://www.bioassayontology.org/bao#BAO_0002261	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002371	2D structure similarity search	scaffold hopping	subClassOf	1
795	http://www.bioassayontology.org/bao#BAO_0002264	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002260	3D structure similarity search	structure similarity search	subClassOf	1
796	http://www.bioassayontology.org/bao#BAO_0002264	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002371	3D structure similarity search	scaffold hopping	subClassOf	1
799	http://www.bioassayontology.org/bao#BAO_0002076	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000356	extraction from natural source	protein preparation method	subClassOf	1
800	http://www.bioassayontology.org/bao#BAO_0002076	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003029	extraction from natural source	small molecule preparation method	subClassOf	1
801	http://www.bioassayontology.org/bao#BAO_0002079	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000164	ATP quantitation using luciferase	ATP quantitation	subClassOf	1
802	http://www.bioassayontology.org/bao#BAO_0002079	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002202	ATP quantitation using luciferase	assay design method	subClassOf	1
804	http://www.bioassayontology.org/bao#BAO_0002077	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000356	synthesis by a chemical process	protein preparation method	subClassOf	1
805	http://www.bioassayontology.org/bao#BAO_0002077	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003029	synthesis by a chemical process	small molecule preparation method	subClassOf	1
812	http://www.bioassayontology.org/bao#BAO_0002997	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	ion channel assay	bioassay	subClassOf	1
813	http://www.bioassayontology.org/bao#BAO_0002997	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002996	ion channel assay	membrane potential assay	subClassOf	1
845	http://purl.obolibrary.org/obo/MMO_0000503	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	cell proliferation assay	bioassay	subClassOf	1
864	http://purl.obolibrary.org/obo/CHMO_0002535	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002413	Karl–Fischer titration	titration method	subClassOf	1
879	http://purl.obolibrary.org/obo/MMO_0000098	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000126	immunoassay	molecular redistribution determination method	subClassOf	1
