	subject_id	predicate_id	object_id	subject	object	predicate
0	http://purl.obolibrary.org/obo/OBI_0002117	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002445	whole genome sequencing assay	genotyping method	subClassOf
1	http://purl.obolibrary.org/obo/MMO_0000496	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000448	histology	morphology assessment method	subClassOf
2	http://purl.obolibrary.org/obo/NCIT_C19286	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002036	Tissue Slice Technology	tissue processing method	subClassOf
3	http://purl.obolibrary.org/obo/NCIT_C134270	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000409	Potency Assay	assay measurement type	subClassOf
4	http://purl.obolibrary.org/obo/NCIT_C89775	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002114	Bleeding Time	time endpoint	subClassOf
5	http://purl.obolibrary.org/obo/NCIT_C20604	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002128	Affinity	physical property endpoint	subClassOf
6	http://purl.obolibrary.org/obo/NCIT_C19425	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	Migration Assay	bioassay	subClassOf
7	http://purl.obolibrary.org/obo/NCIT_C127803	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010278	Dose Response Study	preclinical study	subClassOf
8	http://purl.obolibrary.org/obo/NCIT_C18639	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000759	Quantitative Autoradiography	autoradiography	subClassOf
9	http://purl.obolibrary.org/obo/NCIT_C20610	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000179	Partition Coefficient	endpoint	subClassOf
10	http://purl.obolibrary.org/obo/NCIT_C87277	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHEBI_24431	Hippuric Acid	chemical entity	subClassOf
33	http://purl.obolibrary.org/obo/NCIT_C121762	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C173603	Worst Severity Past Seven Days Cough	Worst Severity Past Seven Days Question	subClassOf
34	http://purl.obolibrary.org/obo/NCIT_C121762	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C173134	Worst Severity Past Seven Days Cough	Cough Question	subClassOf
39	http://purl.obolibrary.org/obo/NCIT_C74268	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C1745	Silicristin	Flavonoid	subClassOf
40	http://purl.obolibrary.org/obo/NCIT_C74268	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C2081	Silicristin	Hepatoprotective Agent	subClassOf
41	http://purl.obolibrary.org/obo/NCIT_C74262	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C74536	Ambroxol	Mucolytic Agent	subClassOf
42	http://purl.obolibrary.org/obo/NCIT_C74262	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C29767	Ambroxol	Expectorant	subClassOf
44	http://purl.obolibrary.org/obo/NCIT_C90621	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C29710	Cinuperone	Antipsychotic Agent	subClassOf
45	http://purl.obolibrary.org/obo/NCIT_C90621	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C28197	Cinuperone	Antianxiety Agent	subClassOf
46	http://purl.obolibrary.org/obo/NCIT_C90623	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C2692	Lometrexol Sodium	Glycinamide Ribonucleotide Formyltransferase Inhibitor	subClassOf
47	http://purl.obolibrary.org/obo/NCIT_C90623	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C511	Lometrexol Sodium	Folate Antagonist	subClassOf
49	http://purl.obolibrary.org/obo/NCIT_C90620	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C28394	Phanquone	Topical Anti-Infective Agent	subClassOf
50	http://purl.obolibrary.org/obo/NCIT_C90620	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C277	Phanquone	Antiprotozoal Agent	subClassOf
51	http://purl.obolibrary.org/obo/NCIT_C90625	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C47794	Roxindole	Serotonin Agonist	subClassOf
52	http://purl.obolibrary.org/obo/NCIT_C90625	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C66884	Roxindole	Dopamine Agonist	subClassOf
56	http://purl.obolibrary.org/obo/NCIT_C182459	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C2167	EGFR Mutant-selective Inhibitor FWD1509 MsOH	Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor	subClassOf
57	http://purl.obolibrary.org/obo/NCIT_C182459	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C129825	EGFR Mutant-selective Inhibitor FWD1509 MsOH	Antineoplastic Enzyme Inhibitor	subClassOf
62	http://purl.obolibrary.org/obo/NCIT_C191230	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C181302	Helper 1 T-Lymphocyte to Helper T-Lymphocyte Ratio Measurement	Helper T-Lymphocytes Count	subClassOf
63	http://purl.obolibrary.org/obo/NCIT_C191230	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C67208	Helper 1 T-Lymphocyte to Helper T-Lymphocyte Ratio Measurement	Blood Cell Count Ratio Measurement	subClassOf
78	http://purl.obolibrary.org/obo/NCIT_C155956	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C192741	CDK2/4/6/FLT3 Inhibitor FN-1501	Cyclin-Dependent Kinase 4 Inhibitor	subClassOf
79	http://purl.obolibrary.org/obo/NCIT_C155956	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C124800	CDK2/4/6/FLT3 Inhibitor FN-1501	FLT3 Inhibitor	subClassOf
80	http://purl.obolibrary.org/obo/NCIT_C155956	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C192742	CDK2/4/6/FLT3 Inhibitor FN-1501	Cyclin-Dependent Kinase 6 Inhibitor	subClassOf
81	http://purl.obolibrary.org/obo/NCIT_C155956	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C200052	CDK2/4/6/FLT3 Inhibitor FN-1501	Cyclin-Dependent Kinase 2 Inhibitor	subClassOf
82	http://purl.obolibrary.org/obo/NCIT_C107382	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C125410	Difficulty Swallowing at its Worst	Have Difficulty Swallowing	subClassOf
83	http://purl.obolibrary.org/obo/NCIT_C107382	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C173939	Difficulty Swallowing at its Worst	Symptom at Worst Question	subClassOf
106	http://purl.obolibrary.org/obo/NCIT_C87387	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C279	Metronidazole Benzoate	Trichomonacide Agent	subClassOf
107	http://purl.obolibrary.org/obo/NCIT_C87387	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C784	Metronidazole Benzoate	Protein Synthesis Inhibitor	subClassOf
118	http://purl.obolibrary.org/obo/NCIT_C129614	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C118873	How Often Think That Body Appears Different Than Other Women	How Often	subClassOf
119	http://purl.obolibrary.org/obo/NCIT_C129614	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C173597	How Often Think That Body Appears Different Than Other Women	Thinking Question	subClassOf
139	http://purl.obolibrary.org/obo/NCIT_C199742	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C199740	Skin-Homing Cytotoxic Effector Memory T-Lymphocyte Subpopulation to Cytotoxic Effector Memory T-Lymphocyte Ratio Measurement	Skin-Homing Cytotoxic Effector Memory T-Lymphocyte Subpopulation Count	subClassOf
140	http://purl.obolibrary.org/obo/NCIT_C199742	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C67208	Skin-Homing Cytotoxic Effector Memory T-Lymphocyte Subpopulation to Cytotoxic Effector Memory T-Lymphocyte Ratio Measurement	Blood Cell Count Ratio Measurement	subClassOf
145	http://purl.obolibrary.org/obo/NCIT_C140815	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C173160	Breast Cancer Surgeon Made You Comfortable	Feelings Question	subClassOf
146	http://purl.obolibrary.org/obo/NCIT_C140815	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C173050	Breast Cancer Surgeon Made You Comfortable	Breast Cancer Surgeon Questions	subClassOf
147	http://purl.obolibrary.org/obo/NCIT_C187110	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C129822	Anti-CD25-IL-2 Monoclonal Antibody AU-007	Antineoplastic Antibody	subClassOf
148	http://purl.obolibrary.org/obo/NCIT_C187110	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C20401	Anti-CD25-IL-2 Monoclonal Antibody AU-007	Monoclonal Antibody	subClassOf
154	http://purl.obolibrary.org/obo/NCIT_C111897	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C129986	Yangzheng Xiaoji Extract	Traditional Chinese Medicine Formulation	subClassOf
155	http://purl.obolibrary.org/obo/NCIT_C111897	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C2189	Yangzheng Xiaoji Extract	Signal Transduction Inhibitor	subClassOf
160	http://purl.obolibrary.org/obo/NCIT_C2606	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C2590	Monoclonal Antibody 11D10 Anti-Idiotype Vaccine	Anti-Idiotype Vaccine	subClassOf
161	http://purl.obolibrary.org/obo/NCIT_C2606	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C129822	Monoclonal Antibody 11D10 Anti-Idiotype Vaccine	Antineoplastic Antibody	subClassOf
171	http://purl.obolibrary.org/obo/NCIT_C154814	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C16723	Streptococcus pyogenes Antigen Measurement	Immunology Test	subClassOf
172	http://purl.obolibrary.org/obo/NCIT_C154814	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C49188	Streptococcus pyogenes Antigen Measurement	Microbiology Test	subClassOf
176	http://purl.obolibrary.org/obo/NCIT_C192177	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C1946	Purinostat Mesylate	Histone Deacetylase Inhibitor	subClassOf
177	http://purl.obolibrary.org/obo/NCIT_C192177	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C129825	Purinostat Mesylate	Antineoplastic Enzyme Inhibitor	subClassOf
182	http://purl.obolibrary.org/obo/NCIT_C191264	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C189427	Naive Helper T-Lymphocyte Subpopulation to Helper T-Lymphocyte Ratio Measurement	Helper T-Lymphocyte Subpopulation to Helper T-Lymphocyte Ratio Measurement	subClassOf
183	http://purl.obolibrary.org/obo/NCIT_C191264	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C191265	Naive Helper T-Lymphocyte Subpopulation to Helper T-Lymphocyte Ratio Measurement	Naive Helper T-Lymphocyte to Helper T-Lymphocyte Ratio Measurement	subClassOf
190	http://purl.obolibrary.org/obo/NCIT_C72627	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C28394	Ambazone	Topical Anti-Infective Agent	subClassOf
191	http://purl.obolibrary.org/obo/NCIT_C72627	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C129820	Ambazone	Antineoplastic Immunomodulating Agent	subClassOf
194	http://purl.obolibrary.org/obo/NCIT_C72628	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C29707	Linsidomine	Vasodilating Agent	subClassOf
195	http://purl.obolibrary.org/obo/NCIT_C72628	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/NCIT_C45845	Linsidomine	Nitric Oxide-Releasing Compound	subClassOf
