	subject_id	predicate_id	object_id	subject	object	predicate
10	http://www.bioassayontology.org/bao#BAO_0002540	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	ECL western blotting detection kit	assay kit	subClassOf
74	http://www.bioassayontology.org/bao#BAO_0010204	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003008	transporter substrate assay	transporter assay	subClassOf
75	http://www.bioassayontology.org/bao#BAO_0010209	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010205	MATE1 substrate assay	efflux transporter substrate assay	subClassOf
76	http://www.bioassayontology.org/bao#BAO_0010203	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010196	OCT2 inhibition assay	uptake transporter inhibition assay	subClassOf
77	http://www.bioassayontology.org/bao#BAO_0010201	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010196	OATP1B3 inhibition assay	uptake transporter inhibition assay	subClassOf
78	http://www.bioassayontology.org/bao#BAO_0010206	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010205	P-gp substrate assay	efflux transporter substrate assay	subClassOf
79	http://www.bioassayontology.org/bao#BAO_0010202	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010196	OCT1 inhibition assay	uptake transporter inhibition assay	subClassOf
80	http://www.bioassayontology.org/bao#BAO_0010200	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010196	OATP1B1 inhibition assay	uptake transporter inhibition assay	subClassOf
81	http://www.bioassayontology.org/bao#BAO_0010207	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010205	MRP2 substrate assay	efflux transporter substrate assay	subClassOf
82	http://www.bioassayontology.org/bao#BAO_0010205	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010204	efflux transporter substrate assay	transporter substrate assay	subClassOf
83	http://www.bioassayontology.org/bao#BAO_0010208	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010205	BCRP substrate assay	efflux transporter substrate assay	subClassOf
139	http://purl.obolibrary.org/obo/NCIT_C101294	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002445	Whole Genome Sequencing	genotyping method	subClassOf
206	http://www.bioassayontology.org/bao#BAO_0010006	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010095	microsomal stability assay	metabolic stability assay	subClassOf
207	http://www.bioassayontology.org/bao#BAO_0010005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003003	single cell protein secretion microfluidic assay	cytokine secretion assay	subClassOf
208	http://www.bioassayontology.org/bao#BAO_0010009	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000015	physicochemical assay	bioassay	subClassOf
209	http://www.bioassayontology.org/bao#BAO_0010001	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003009	cell viability ATP quantitation assay	cell viability assay	subClassOf
210	http://www.bioassayontology.org/bao#BAO_0010002	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002043	2 color apoptosis assay	apoptosis assay	subClassOf
211	http://www.bioassayontology.org/bao#BAO_0010004	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002786	mitosis/apoptosis assay	cell cycle state assay	subClassOf
212	http://www.bioassayontology.org/bao#BAO_0010007	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010095	plasma stability assay	metabolic stability assay	subClassOf
213	http://www.bioassayontology.org/bao#BAO_0010003	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002043	3 color apoptosis assay	apoptosis assay	subClassOf
214	http://www.bioassayontology.org/bao#BAO_0010008	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010083	Caco-2 permeability assay	permeability assay	subClassOf
221	http://www.bioassayontology.org/bao#BAO_0000468	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002429	signal quantitation method	assay supporting method	subClassOf
222	http://www.bioassayontology.org/bao#BAO_0000469	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000048	nucleic acid conformation assessment	conformation determination method	subClassOf
223	http://www.bioassayontology.org/bao#BAO_0000461	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000050	bioluminescence resonance energy transfer	bioluminescence	subClassOf
224	http://www.bioassayontology.org/bao#BAO_0000466	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000129	ex situ immunoassay	immunoassay	subClassOf
225	http://www.bioassayontology.org/bao#BAO_0000464	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000468	densitometric scan	signal quantitation method	subClassOf
226	http://www.bioassayontology.org/bao#BAO_0000462	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000051	chemiluminescence resonance energy transfer	chemiluminescence	subClassOf
233	http://www.bioassayontology.org/bao#BAO_0003000	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000015	rna splicing assay	bioassay	subClassOf
234	http://www.bioassayontology.org/bao#BAO_0003007	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003002	second messenger assay	signal transduction assay	subClassOf
235	http://www.bioassayontology.org/bao#BAO_0003001	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000015	sensitizer assay	bioassay	subClassOf
236	http://www.bioassayontology.org/bao#BAO_0003003	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000042	cytokine secretion assay	Cue Signal Response assay	subClassOf
237	http://www.bioassayontology.org/bao#BAO_0003005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003004	phosphorylation assay	posttranslation modification assay	subClassOf
238	http://www.bioassayontology.org/bao#BAO_0003005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000042	phosphorylation assay	Cue Signal Response assay	subClassOf
239	http://www.bioassayontology.org/bao#BAO_0003002	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000015	signal transduction assay	bioassay	subClassOf
240	http://www.bioassayontology.org/bao#BAO_0003009	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000015	cell viability assay	bioassay	subClassOf
241	http://www.bioassayontology.org/bao#BAO_0003004	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003002	posttranslation modification assay	signal transduction assay	subClassOf
242	http://www.bioassayontology.org/bao#BAO_0003008	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000015	transporter assay	bioassay	subClassOf
243	http://www.bioassayontology.org/bao#BAO_0003006	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010044	reporter gene assay	targeted transcriptional assay	subClassOf
255	http://www.bioassayontology.org/bao#BAO_0002095	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002094	bioinformatics method	computational method	subClassOf
258	http://www.bioassayontology.org/bao#BAO_0002090	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002089	quantitative reverse transcription PCR	reverse transcription PCR	subClassOf
262	http://www.bioassayontology.org/bao#BAO_0002094	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002753	computational method	assay method component	subClassOf
265	http://purl.obolibrary.org/obo/NCIT_C16681	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000448	Histology	morphology assessment method	subClassOf
309	http://www.bioassayontology.org/bao#BAO_0000514	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000512	array	assay footprint	subClassOf
344	http://www.bioassayontology.org/bao#BAO_0000333	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0140017	P450-Glo CYP2C9 Screening System	Luciferase-based ('Glo') Assay System (Promega)	subClassOf
410	http://www.bioassayontology.org/bao#BAO_0000923	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	GeneBLAzer	assay kit	subClassOf
435	http://www.bioassayontology.org/bao#BAO_0000649	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000379	calcium redistribution assay	second messenger redistribution assay	subClassOf
436	http://www.bioassayontology.org/bao#BAO_0000649	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000819	calcium redistribution assay	ion redistribution assay	subClassOf
467	http://www.bioassayontology.org/bao#BAO_0002982	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	Cellomics Mitotic Index Kit	assay kit	subClassOf
468	http://www.bioassayontology.org/bao#BAO_0002983	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	Cellomics Multiparameter Cytotoxicity 1 Kit	assay kit	subClassOf
469	http://www.bioassayontology.org/bao#BAO_0002985	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	Cellomics Multiplexed p53 and p21 Detection Kit	assay kit	subClassOf
470	http://www.bioassayontology.org/bao#BAO_0002984	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	Cellomics Multiplexed NFκB and c-Jun Activation Kit	assay kit	subClassOf
471	http://www.bioassayontology.org/bao#BAO_0002989	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000015	binding assay	bioassay	subClassOf
472	http://www.bioassayontology.org/bao#BAO_0002986	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	Cellomics p38 MAPK Activation Kit	assay kit	subClassOf
473	http://www.bioassayontology.org/bao#BAO_0002981	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	Cellomics Cytoskeletal Rearrangement Kit	assay kit	subClassOf
474	http://www.bioassayontology.org/bao#BAO_0002980	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	Cellomics c-Jun Activation Kit	assay kit	subClassOf
483	http://www.bioassayontology.org/bao#BAO_0040037	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040033	tyrosine ligand covalent binding method	ligand covalent binding method	subClassOf
484	http://www.bioassayontology.org/bao#BAO_0040038	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040033	N-terminal ligand covalent binding method	ligand covalent binding method	subClassOf
485	http://www.bioassayontology.org/bao#BAO_0040035	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040033	methionine ligand covalent binding method	ligand covalent binding method	subClassOf
486	http://www.bioassayontology.org/bao#BAO_0040031	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002202	size separation method	assay design method	subClassOf
487	http://www.bioassayontology.org/bao#BAO_0040033	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000123	ligand covalent binding method	binding assessment method	subClassOf
488	http://www.bioassayontology.org/bao#BAO_0040030	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040027	transcription factor occupancy	chromatin acessibility method	subClassOf
489	http://www.bioassayontology.org/bao#BAO_0040036	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040033	serine ligand covalent binding method	ligand covalent binding method	subClassOf
490	http://www.bioassayontology.org/bao#BAO_0040034	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040033	lysine ligand covalent binding method	ligand covalent binding method	subClassOf
491	http://www.bioassayontology.org/bao#BAO_0040039	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040033	threonine ligand covalent binding method	ligand covalent binding method	subClassOf
492	http://www.bioassayontology.org/bao#BAO_0040032	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002755	NanoBRET	fluorescent ligand binding method	subClassOf
500	http://www.bioassayontology.org/bao#BAO_0000501	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000505	purified protein array	protein array	subClassOf
501	http://www.bioassayontology.org/bao#BAO_0000506	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000504	gene array	nucleic acid array	subClassOf
502	http://www.bioassayontology.org/bao#BAO_0000505	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000514	protein array	array	subClassOf
508	http://www.bioassayontology.org/bao#BAO_0000504	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000514	nucleic acid array	array	subClassOf
552	http://www.bioassayontology.org/bao#BAO_0040040	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040033	unnatural amino acid ligand covalent binding method	ligand covalent binding method	subClassOf
553	http://www.bioassayontology.org/bao#BAO_0040042	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040031	liquid chromatography-tandem mass spectrometry	size separation method	subClassOf
554	http://www.bioassayontology.org/bao#BAO_0040041	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040034	cysteine ligand covalent binding method	lysine ligand covalent binding method	subClassOf
562	http://www.bioassayontology.org/bao#BAO_0000873	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	Calcium 5 Assay Kit	assay kit	subClassOf
638	http://www.bioassayontology.org/bao#BAO_0002482	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002481	propidium iodide exclusion	dye exclusion method	subClassOf
639	http://www.bioassayontology.org/bao#BAO_0002481	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002480	dye exclusion method	vital dye staining	subClassOf
640	http://www.bioassayontology.org/bao#BAO_0002485	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002429	reconstitution method	assay supporting method	subClassOf
641	http://www.bioassayontology.org/bao#BAO_0002488	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002486	genetic complementation	complementation method	subClassOf
642	http://www.bioassayontology.org/bao#BAO_0002483	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002480	vital staining of cells	vital dye staining	subClassOf
643	http://www.bioassayontology.org/bao#BAO_0002480	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002452	vital dye staining	labeling method	subClassOf
644	http://www.bioassayontology.org/bao#BAO_0002486	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002485	complementation method	reconstitution method	subClassOf
645	http://www.bioassayontology.org/bao#BAO_0002487	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002486	chemical complementation	complementation method	subClassOf
646	http://www.bioassayontology.org/bao#BAO_0002484	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002480	vital staining of organelles	vital dye staining	subClassOf
647	http://www.bioassayontology.org/bao#BAO_0002489	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002488	hybrid screening	genetic complementation	subClassOf
768	http://www.bioassayontology.org/bao#BAO_0010171	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010169	CYP time dependent inhibition kinact/KI assay	CYP time-dependent inhibition assay	subClassOf
769	http://www.bioassayontology.org/bao#BAO_0010172	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010169	CYP time dependent inhibition single point assay	CYP time-dependent inhibition assay	subClassOf
770	http://www.bioassayontology.org/bao#BAO_0010174	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010173	UGT1A1 with BSA assay	UGT inhibition assay	subClassOf
771	http://www.bioassayontology.org/bao#BAO_0010176	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010173	UGT1A4 with BSA assay	UGT inhibition assay	subClassOf
772	http://www.bioassayontology.org/bao#BAO_0010175	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010173	UGT1A1 without BSA assay	UGT inhibition assay	subClassOf
773	http://www.bioassayontology.org/bao#BAO_0010173	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010157	UGT inhibition assay	enzyme inhibition assay	subClassOf
774	http://www.bioassayontology.org/bao#BAO_0010170	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010169	CYP time dependent inhibition IC50 shift assay	CYP time-dependent inhibition assay	subClassOf
775	http://www.bioassayontology.org/bao#BAO_0010177	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010173	UGT1A4 without BSA assay	UGT inhibition assay	subClassOf
