	subject_id	predicate_id	object_id	subject	object	predicate
9	http://www.bioassayontology.org/bao#BAO_0002540	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000248	ECL western blotting detection kit	assay kit	subClassOf
58	http://www.bioassayontology.org/bao#BAO_0010204	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003008	transporter substrate assay	transporter assay	subClassOf
59	http://www.bioassayontology.org/bao#BAO_0010209	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010205	MATE1 substrate assay	efflux transporter substrate assay	subClassOf
60	http://www.bioassayontology.org/bao#BAO_0010203	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010196	OCT2 inhibition assay	uptake transporter inhibition assay	subClassOf
61	http://www.bioassayontology.org/bao#BAO_0010201	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010196	OATP1B3 inhibition assay	uptake transporter inhibition assay	subClassOf
62	http://www.bioassayontology.org/bao#BAO_0010206	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010205	P-gp substrate assay	efflux transporter substrate assay	subClassOf
63	http://www.bioassayontology.org/bao#BAO_0010202	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010196	OCT1 inhibition assay	uptake transporter inhibition assay	subClassOf
64	http://www.bioassayontology.org/bao#BAO_0010200	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010196	OATP1B1 inhibition assay	uptake transporter inhibition assay	subClassOf
65	http://www.bioassayontology.org/bao#BAO_0010207	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010205	MRP2 substrate assay	efflux transporter substrate assay	subClassOf
66	http://www.bioassayontology.org/bao#BAO_0010205	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010204	efflux transporter substrate assay	transporter substrate assay	subClassOf
67	http://www.bioassayontology.org/bao#BAO_0010208	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010205	BCRP substrate assay	efflux transporter substrate assay	subClassOf
113	http://purl.obolibrary.org/obo/NCIT_C101294	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002445	Whole Genome Sequencing	genotyping method	subClassOf
163	http://www.bioassayontology.org/bao#BAO_0010006	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010095	microsomal stability assay	metabolic stability assay	subClassOf
164	http://www.bioassayontology.org/bao#BAO_0010005	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003003	single cell protein secretion microfluidic assay	cytokine secretion assay	subClassOf
165	http://www.bioassayontology.org/bao#BAO_0010009	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000015	physicochemical assay	bioassay	subClassOf
